id	kids	mothers	
21205	77.1003484328	616.728936059
20901	129.528637982	592.975365869
30905	14.8639612435	69.669649076
12104	37.7398240577	389.200659918
80110	3.23823059176	28.6808851433
30907	74.5782971701	438.883262224
29999	4.88757972913	127.683532026
20504	60.0118076768	240.909881843
12703	146.655310901	840.568241835
12203	42.1527809672	359.70758378
30906	28.8089699796	167.454041929
90102	0.064721303189	1.42649376551
31102	21.9837993365	150.325052567
50702	18.2411957776	135.274763542
21001	14.4892700189	141.083309973
79999	1.45108663573	34.4377259247
11901	205.441204138	802.201941193
30602	75.1170164355	472.806226716
50402	11.0713896443	108.377007466
12602	45.4365375102	402.151504371
50701	68.2760769286	565.143035947
30801	23.7369867137	147.387026223
51102	5.17240818673	41.8468215803
30604	7.4505038831	53.1658139101
20902	100.752212494	634.753138549
20801	27.1218356736	214.373243137
12502	32.4532429063	134.829830888
20804	9.22014966079	127.088015175
30103	38.9410079407	165.993479832
40403	17.4014240241	372.218471512
30903	29.0381317629	225.852703532
31203	13.2560091356	119.019090482
10304	37.7420015187	178.184271515
70101	15.4842403249	178.235932934
50201	37.1325937926	288.098263442
60302	7.30828588961	37.8981439742
12303	13.6263880522	86.0381107862
20301	6.9689722269	36.2000059139
20201	45.9037000889	256.924027998
31901	29.855402091	186.938075981
69797	0.0	0.0
50602	148.939160026	764.255041594
11203	31.3214050003	188.535389941
12601	7.48522572094	66.9431045115
40202	308.653651547	779.960344879
40107	7.72323887439	92.3029958871
20101	65.3042348533	307.410792016
31402	77.9573006575	269.621148439
30902	15.9960065044	142.365599575
20903	15.7965285348	99.5632893849
12003	54.7865926108	593.327312665
20604	239.285474118	1639.8002133
20501	19.2089492416	115.305809445
21203	303.051864121	1525.32510952
21503	18.615057303	117.537253813
19797	0.0	0.0
70205	22.655262964	107.951474131
21102	6.61091626974	37.1730185951
21104	14.4269597289	107.024736777
11702	19.3572001666	294.695202379
40301	6.80285572962	67.4066126584
10302	30.5299051897	146.870269345
31105	44.412341511	257.429168871
40106	8.31291611107	63.2285818994
50903	12.019643876	62.145169538
12201	13.3525337874	119.31433473
31905	14.0820663911	92.8103635515
30202	20.3890486833	227.966415531
31103	141.330132846	449.08984102
50604	184.641752693	1010.72173547
12504	131.38954379	716.078314719
60303	1.82111733818	10.5725554844
50403	246.298577137	1297.9762591
12103	24.9012998351	216.484923219
20202	21.2519518813	105.905678448
