id	kids	mothers	
21205	788.17216281	6765.76942976
20901	332.915679759	1903.73630531
30905	19.266848973	147.851920991
12104	175.506710073	1807.81788312
80110	56.5548036559	260.991020201
30907	161.067476263	865.086632672
29999	21.4872255169	154.430770052
20504	83.1018390222	401.726649181
12703	1475.86460318	8048.18228115
12203	218.316347408	1631.33298657
30906	49.887719279	526.874802832
90102	0.129544407994	1.81543239433
31102	64.7029944061	293.29507011
50702	17.7231654936	287.678627567
21001	158.27422531	1064.28110847
79999	1.58073284534	35.2156031824
11901	2372.22431087	11789.1021902
30602	166.525341834	1069.89321973
50402	23.7194102398	153.828290715
12602	604.021128318	4485.14297945
50701	256.033129054	1461.45481131
30801	25.1392394306	193.04496544
51102	5.90614832554	46.2492624133
30604	7.96863349127	69.7891888868
20902	664.943158827	3804.52255865
20801	113.362532085	767.4059779
12502	380.938361309	2275.39728688
20804	122.34939222	947.455397002
30103	101.401671944	572.408186742
40403	275.050951661	1848.99633696
30903	124.401086182	626.870807989
31203	30.4916981207	140.591124505
10304	87.9378076398	380.57682092
70101	61.3020936096	551.322325758
50201	104.564200578	518.072544504
60302	12.5430096023	45.2803600628
12303	22.5500550957	188.751558943
20301	7.81056703015	45.3100940184
20201	144.119808135	672.870159243
31901	54.6820628304	411.433524225
69797	0.0	0.0
50602	436.785529326	2278.34313593
11203	62.7663443652	359.511281612
12601	184.406579524	1326.54656343
40202	271.680258161	847.236474409
40107	65.6446913378	547.836471114
20101	132.852092031	721.897511479
31402	210.871311413	928.507190505
30902	31.1573498562	212.283597826
20903	52.2301854284	381.071721511
12003	843.870973043	7322.06939853
20604	392.668588179	4934.74338564
20501	36.7219927199	197.795296427
21203	2228.47640846	10073.0878214
21503	43.0094666768	255.817000363
19797	0.172601481231	1.03560888739
70205	45.9551323175	156.751737317
21102	29.6112793603	357.768120265
21104	208.616738352	1363.66409804
11702	106.083939918	1168.94015553
40301	52.2565354358	253.398567566
10302	55.0892214859	230.931700575
31105	113.748146536	731.406625087
40106	97.6533036251	657.582922571
50903	24.7381796329	106.242727143
12201	20.6530808824	286.653779427
31905	14.5142231737	126.837762236
30202	144.48565442	1113.79108583
31103	263.117512778	1098.40927299
50604	817.720990572	4218.10500585
12504	2900.7790338	15229.7134054
60303	1.95067875526	11.349923987
50403	607.001303212	2761.67866455
12103	219.417073214	1828.69081775
20202	49.7244118613	142.47348887
20601	288.235961243	2651.6785911
12802	178.26434178	981.758674266
20503	43.9607727872	232.047670443
12403	459.70705407	2571.87566178
21301	1039.89970698	6339.69520691
20502	28.5825504268	155.232097623
70202	2.52035233362	52.8414808357
30201	124.613828878	738.522153639
40402	153.197210031	735.737354311
30304	122.511416102	861.528902598
20904	2103.04077245	10312.7822114
31001	346.819939389	1652.59676593
50502	713.419979879	4308.62094259
11504	108.215265036	912.40372862
80107	279.1329344	1169.36638571
40105	115.406545119	736.022307563
31606	22.8730683846	118.689931107
12202	31.3323712958	283.140552528
50503	540.281959321	3047.22997989
50401	240.591632717	1698.38256564
40204	727.314615659	3428.61273333
50704	175.320577428	1311.859276
60203	13.308129826	100.969139082
20802	669.474593814	4013.38677799
40303	100.39688993	722.025485329
80106	32.1867304972	506.637421357
51104	61.1022142609	260.873852578
11402	29.2629354041	235.598782874
30404	43.83775307	381.670608046
21303	301.872061536	2272.32742329
20603	197.813157844	1652.32323816
50103	11.0560446137	75.7490044728
31601	29.5302208046	257.83640121
21602	22.7302790815	126.678547485
10102	149.634321849	728.613146785
20701	362.005961872	3138.81832184
12402	0.0	0.0
30301	82.3254139259	750.847211536
10604	21.2842409767	140.112318501
39999	14.1974933271	124.758485752
21103	243.904473577	1626.57040113
70204	14.2184891438	54.6135383749
30302	182.208245456	1732.84544895
30703	29.1709909397	110.881333792
11101	101.681413894	380.21050049
21003	901.716377647	5075.13073038
31605	16.8099250186	148.857402115
10502	10.2328391449	80.1878910553
10104	50.7329503637	178.586328028
30305	304.851735032	1920.19979129
11601	1618.85923521	9134.22253584
21004	37.2403664295	311.854476644
40302	367.520332668	1748.97997119
30701	43.6061570845	260.221894644
30702	32.0698643912	136.944229762
31301	16.4289441728	70.3114301638
20403	70.2616440798	359.759393025
30803	119.753172582	699.316065269
10105	34.0596205376	163.96208218
50607	93.654321109	900.272195529
10804	60.9320005417	258.270598054
80104	604.111218225	2818.70725347
30502	77.763852107	514.26460257
51003	74.0995830452	281.241160241
20605	172.443827556	2159.86325613
11603	1143.64322419	5664.07256196
60202	10.8400962885	52.6471881775
31603	56.226660396	413.584414732
10501	59.8189170046	144.293449105
12405	246.676577214	1614.05059523
10901	141.000583045	518.257321061
51101	9.46486783666	64.3464087157
70103	17.9458613005	92.5049143316
21105	128.961453142	807.74465681
50302	280.978575056	2309.41094154
31106	340.980802684	1540.87653779
31902	22.0678692137	139.343795681
40504	23.2375186849	47.0746869483
11303	141.341126532	680.91108578
80109	152.738219162	1031.50182297
40203	651.80510231	3171.81249714
31305	36.6319943221	284.494773615
31304	26.6236293693	258.373686047
20703	248.444929832	2194.4243376
60103	54.455121212	433.030823225
21202	1051.93111125	6129.24438592
89797	0.0	0.0
11801	190.615812654	1688.38666122
31503	10.0770142138	65.3692601679
31904	43.2533764269	256.987441583
40703	86.5076703773	413.923656193
99999	0.0215751851539	0.129451110923
11501	741.847327635	5394.21938618
40401	371.369057868	1648.88503324
31701	283.172038672	1324.75804109
21201	347.523459827	1443.92044379
50605	153.250339918	730.269542552
80111	0.323790359546	7.28188131003
20102	31.6267992441	85.2550345759
10802	20.2843158642	138.408982071
21005	2869.08313075	15651.9591147
20302	306.983095306	2018.10702825
10601	69.1079548022	282.728066947
30910	77.5474543971	820.087555933
11201	57.1109603508	360.381826606
70102	213.208527464	1375.01567759
19999	4.78192948753	227.250153166
30403	139.800799609	1132.26020611
31201	36.9605182194	193.527636358
80105	98.2555322291	1016.84879472
31004	244.489911999	1242.15087829
90101	0.0216077016015	7.95398778986
30805	114.37179194	420.681735015
60106	6.22551978793	46.7381422534
21302	353.107212373	1808.1426303
40601	54.9806636541	218.378570282
11503	11.1251157809	76.1386890829
12301	149.44210821	713.854683321
89999	0.32361502049	6.00563309412
21305	3224.77417894	12979.1497141
40702	53.1162314199	209.192677491
11102	75.2222518009	236.922177806
12501	1151.79578012	7166.35542277
10401	18.0215449258	142.09448885
40602	34.8514324763	203.091003316
10702	0.0	0.0
31801	21.7102514136	120.40561965
11903	507.649949217	4101.69820747
50301	97.1122952513	758.814003112
40503	15.8527583248	75.732131224
69999	0.0215751851539	4.35555198063
11802	202.584492019	2448.82725868
30504	79.0420069321	690.700549069
10903	30.5599105137	167.029387905
11502	49.5885661759	394.975366931
10704	296.21008094	1584.17825702
20103	14.2387207261	47.8465820776
31403	48.4976633808	297.617959792
11004	66.0080375734	349.838866306
31303	5.86561437038	33.8714288079
50102	100.200685313	568.882081434
20505	47.9678939118	204.136597478
10602	71.8054664823	378.554349835
30306	331.93300401	1697.30488272
40304	162.641520572	1048.93481136
30904	6.51233555814	85.8367876567
30908	76.3739399012	580.748424345
10201	180.066157779	858.500540723
30303	224.143414069	1803.72559205
20402	25.8935477523	183.410641239
31401	86.0418117255	426.67033757
11602	1165.32320876	6449.1183509
20606	82.4429044604	1365.10313801
11002	20.7398009168	120.856689495
10703	73.7325785066	430.971314139
11302	7.53999678471	50.6722937481
30402	60.3057557492	487.482601932
70203	18.969809057	77.5812588365
10103	5.78184242283	87.8219882277
40205	257.23134202	1091.79264511
21703	30.2088441292	116.880346583
40104	198.340606515	1093.34710822
59999	5.01163642649	70.1887731404
12503	2751.66339487	14090.5435873
51001	59.4071235952	269.578071738
12401	53.6011293833	290.687769529
21502	75.7200535188	511.913797861
79797	0.0359586419232	0.215751851539
40501	10.6311146132	80.0510446898
70201	99.5321999162	548.042829562
40101	30.9038116325	561.604961576
40102	30.2315276614	246.501017198
60402	17.1841902664	110.115769385
31501	23.5909615943	134.897206884
20602	73.5506567834	922.076373428
31202	118.374975147	631.270490299
21704	21.7980301785	174.037971841
60301	3.95150623409	23.5600442194
40502	12.1201119742	54.7804370052
21601	27.9697571798	140.399096456
31607	15.5803198441	158.851603255
21501	61.3880835991	268.637038176
60102	29.4913176565	188.015906655
50901	60.0848002654	248.664625687
11904	1040.80036999	7183.22850794
31302	54.360273072	340.878228751
60105	69.0982262543	669.914234021
39797	0.0	0.0
31502	60.8662188024	231.18977052
10202	105.9386077	677.784397191
30401	62.9656806896	556.959401916
11202	60.0768585643	261.589074215
60104	20.8810954279	116.535551078
80103	1.93884154069	11.9034731753
11301	181.171935731	579.83644151
11103	272.496602073	1399.82171876
21402	80.0521507388	525.572712546
31003	89.672561574	529.745442071
30605	19.4143007066	159.854237432
10902	7.44858553462	50.8616575714
50601	452.104754501	2015.47479449
40701	14.1263522477	111.489859833
29797	0.0	0.0
90104	0.172601481231	1.97780991434
31602	63.0092956396	318.392775256
10805	25.4324857827	174.327062276
80101	367.426352755	1838.311328
20203	6.46893313419	30.1806102563
50501	159.870654963	1211.82939196
12701	1004.65341299	5632.05430321
30101	63.8714678306	414.652613936
10801	28.6367315494	65.6971222694
31903	22.3286916354	160.852677963
11401	64.9991706886	312.844825422
31002	45.6244369145	188.083263251
21002	17.0847338581	105.535240999
40103	85.7432319502	732.06094756
30909	79.1712058541	873.518671763
11001	57.6151220873	410.499391683
10303	32.9911627722	224.848574693
31608	6.38435629655	49.4440599712
10106	49.8870862044	153.74258484
10301	37.8630478791	286.967209366
50603	445.392975843	3571.7496039
50902	34.1329372338	193.94042965
31104	31.0056546149	183.221312913
21204	1925.03172843	10550.1778217
20607	96.9004182769	1377.35035957
10803	0.0	1.83532908376
60403	8.22820060501	42.2743287466
50606	77.0131343634	297.29141449
10603	47.1552773395	202.605234171
12702	1332.70164965	8861.41047742
