GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.88	0.86	0.93	0.92	0.93	-68	-57	-13	3	-1
01003	0.87	0.83	1.06	1.2	0.77	-315	-351	24	14	-2
01005	1.02	0.87	1.05	1.92	0.82	-7	-16	3	5	1
01007	1.01	0.97	1.14	1.02	2.26	-18	-23	1	3	1
01009	0.96	0.89	1.31	1.41	1.48	-45	-67	3	18	2
01011	1.13	0.8	1.1	1.82	1.02	12	-3	9	6	1
01013	0.92	0.84	0.95	2.15	0.8	-16	-21	3	2	0
01015	0.86	0.79	0.97	1.29	1.12	-69	-112	25	13	5
01017	0.87	0.81	0.89	2.02	0.71	-42	-39	-8	5	0
01019	0.88	0.84	1.22	1.31	3.52	-49	-55	1	3	3
01021	0.99	0.91	1.06	1.69	1.16	-12	-27	0	16	0
01023	0.95	0.85	1.0	3.31	1.92	-13	-13	-2	2	0
01025	0.91	0.83	0.98	1.03	0.82	-28	-20	-8	1	0
01027	0.92	0.88	1.09	1.05	0.7	-17	-16	-1	0	0
01029	1.1	1.02	1.35	3.2	0.41	-8	-16	1	6	0
01031	0.94	0.87	1.03	1.28	0.86	-59	-63	-1	5	0
01033	0.93	0.89	1.04	1.13	1.02	-41	-54	6	5	2
01035	0.97	0.95	0.9	2.62	2.67	-14	-10	-7	2	0
01037	0.83	0.79	0.88	1.23	0.47	-35	-19	-16	0	-1
01039	1.0	0.96	1.13	1.25	1.07	-17	-24	4	2	0
01041	0.87	0.85	0.87	1.57	0.42	-26	-19	-8	2	0
01043	0.96	0.92	1.73	1.28	1.02	-45	-72	10	15	2
01045	1.03	1.01	1.0	1.32	0.94	21	-6	12	14	1
01047	0.91	0.91	0.9	1.56	0.96	-26	-14	-12	0	0
01049	0.95	0.83	1.47	1.37	1.29	-52	-106	6	46	2
01051	0.82	0.8	0.84	0.94	1.14	-129	-112	-21	2	2
01053	1.09	1.06	1.12	1.22	1.19	10	-8	15	3	0
01055	0.92	0.84	1.03	1.7	1.37	-116	-157	10	30	1
01057	0.98	0.87	1.22	1.48	27.13	-14	-24	4	2	5
01059	1.17	0.97	1.61	1.83	0.83	15	-25	1	39	0
01061	0.94	0.91	1.13	1.05	1.73	-27	-31	2	2	0
01063	0.97	1.3	0.9	2.17	0.0	1	0	0	1	0
01065	0.98	0.91	0.99	2.47	0.48	4	-1	3	2	0
01067	0.83	0.83	0.84	0.84	1.14	-31	-22	-10	1	0
01069	0.96	0.86	1.11	1.24	1.04	-44	-100	41	11	3
01071	0.92	0.86	1.72	1.33	1.15	-65	-75	7	3	0
01073	0.9	0.82	0.9	1.84	0.86	-34	-211	2	181	-5
01075	0.96	0.9	1.2	1.88	1.09	-13	-16	2	2	0
01077	0.8	0.77	0.88	1.31	0.85	-81	-106	16	9	0
01079	0.91	0.9	0.96	0.82	1.89	-43	-40	-1	-2	1
01081	0.71	0.64	0.8	1.1	0.92	-116	-99	-32	17	-3
01083	0.85	0.82	0.8	1.33	0.85	-149	-138	-32	31	-10
01085	0.96	0.85	0.97	1.59	0.0	1	-4	4	0	0
01087	0.65	0.81	0.61	2.17	0.37	-20	-6	-16	3	-1
01089	0.86	0.81	0.89	1.26	0.82	-204	-306	48	75	-21
01091	0.96	1.01	0.94	0.71	1.21	-18	-1	-16	-1	0
01093	0.9	0.83	1.87	1.68	1.44	-39	-46	2	4	1
01095	1.18	0.92	2.03	2.26	2.21	62	-93	23	128	5
01097	0.96	0.88	1.03	1.04	1.18	116	-157	218	35	19
01099	0.78	0.78	0.77	1.01	0.26	-47	-24	-20	-2	0
01101	0.97	0.85	0.94	2.61	1.06	67	-86	78	82	-7
01103	1.0	0.89	1.14	1.54	1.39	-15	-98	23	58	3
