GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.83	0.82	0.88	0.78	0.82	-95	-88	-6	1	-2
01003	0.94	0.9	1.02	1.49	0.73	-203	-270	23	47	-3
01005	1.1	0.92	1.11	2.79	0.74	10	-17	13	14	0
01007	0.96	0.95	0.98	1.09	1.0	-23	-25	2	1	-1
01009	0.99	0.93	1.95	1.36	1.02	-49	-76	4	22	0
01011	1.07	1.12	0.98	1.83	1.28	9	0	1	7	1
01013	0.9	0.95	0.81	2.86	0.88	-11	-10	-5	4	1
01015	0.87	0.81	0.96	1.29	1.04	-86	-134	28	18	2
01017	0.96	0.97	0.87	2.83	1.17	-25	-24	-10	8	2
01019	0.83	0.79	1.22	1.26	2.68	-52	-55	2	1	1
01021	1.0	0.95	1.07	1.47	0.61	-11	-31	5	15	0
01023	0.93	0.89	0.92	5.27	0.0	-21	-13	-10	2	0
01025	0.9	0.92	0.88	0.95	0.2	-26	-13	-13	1	0
01027	0.87	0.83	1.02	1.06	1.14	-22	-21	-2	1	0
01029	0.94	0.92	1.3	1.47	0.0	-17	-20	2	1	0
01031	0.92	0.86	1.0	1.32	0.88	-46	-68	4	17	1
01033	0.92	0.91	0.89	1.24	0.83	-58	-54	-7	3	-1
01035	1.12	1.04	1.13	2.63	1.12	0	-4	1	2	0
01037	0.82	0.8	0.85	0.83	1.25	-28	-16	-12	-1	0
01039	1.0	0.97	1.17	1.04	0.72	-16	-25	10	0	-1
01041	0.88	0.88	0.84	1.75	0.51	-11	-8	-4	2	-1
01043	1.0	0.93	1.6	1.83	2.55	-12	-57	6	31	8
01045	1.02	0.98	1.01	1.42	1.09	33	-2	12	20	3
01047	0.98	0.84	1.0	2.55	0.76	12	-18	27	4	-1
01049	0.95	0.83	1.01	1.54	0.38	-59	-117	0	64	-5
01051	0.8	0.79	0.76	1.0	1.23	-131	-120	-23	9	2
01053	0.99	0.96	0.97	1.36	1.29	0	-8	4	4	-1
01055	0.85	0.81	0.88	1.67	0.54	-147	-152	-13	23	-4
01057	0.97	0.87	1.28	1.64	9.93	-16	-20	0	2	2
01059	1.05	0.91	1.16	1.64	0.52	4	-27	-3	34	1
01061	0.95	0.94	0.96	1.1	0.9	-35	-37	1	1	-1
01063	1.07	0.94	1.06	2.26	4.5	-2	-4	1	0	0
01065	0.95	0.97	0.9	2.6	2.75	-4	-8	1	2	1
01067	0.83	0.81	0.85	1.09	0.15	-29	-24	-4	0	0
01069	0.89	0.84	0.95	1.38	0.87	-65	-96	17	15	-1
01071	0.84	0.81	1.26	1.17	0.37	-77	-81	1	7	-3
01073	0.92	0.86	0.92	1.76	0.88	-4	-277	76	188	8
01075	0.94	0.94	0.99	1.0	0.71	-12	-12	0	0	0
01077	0.76	0.73	0.82	1.35	0.58	-138	-148	-2	12	0
01079	0.9	0.94	0.86	0.65	1.26	-58	-46	-9	-3	0
01081	0.72	0.65	0.8	1.18	0.9	-44	-73	-2	27	4
