GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.83	0.83	0.85	1.04	0.61	-103	-91	-10	2	-3
01003	0.93	0.88	1.07	1.55	0.58	-234	-292	16	48	-6
01005	1.16	1.0	1.18	2.34	0.07	5	-15	9	11	0
01007	0.93	0.95	0.84	1.08	0.87	-26	-21	-5	1	-1
01009	1.0	0.91	1.95	1.62	0.91	-44	-80	6	30	0
01011	1.03	1.15	0.94	1.68	0.79	1	-2	-4	7	0
01013	0.92	0.89	0.93	1.82	0.85	-8	-12	2	1	1
01015	0.86	0.78	1.01	1.27	0.84	-103	-153	39	12	-2
01017	0.98	0.97	0.91	2.76	0.7	-28	-24	-13	9	0
01019	0.84	0.8	1.17	1.19	2.67	-55	-57	-1	1	1
01021	0.99	0.9	1.14	1.72	1.3	-18	-50	6	24	2
01023	0.82	0.77	0.86	2.86	0.0	-34	-20	-14	1	0
01025	0.84	0.82	0.87	0.87	0.29	-51	-32	-19	0	0
01027	0.89	0.8	1.13	1.61	0.53	-28	-30	-2	4	0
01029	0.95	0.94	1.15	1.4	0.36	-14	-16	0	2	0
01031	0.94	0.87	1.05	1.4	0.61	-43	-69	8	20	-2
01033	0.9	0.86	1.01	1.36	0.86	-71	-76	-3	9	-1
01035	1.0	0.94	1.04	1.51	0.25	-13	-11	-3	1	-1
01037	0.69	0.72	0.66	0.62	0.37	-33	-15	-17	0	0
01039	0.98	0.97	1.07	1.09	0.88	-33	-40	8	0	0
01041	0.91	0.92	0.82	2.49	0.6	-24	-23	-4	3	0
01043	0.97	0.92	1.45	1.7	1.61	-43	-80	5	28	4
01045	0.99	0.96	0.96	1.37	0.88	1	-20	4	16	1
01047	1.0	0.85	1.03	2.0	1.18	0	-22	18	3	1
01049	1.0	0.85	1.13	1.71	0.74	-31	-116	3	82	0
01051	0.8	0.79	0.79	0.85	1.2	-152	-139	-15	2	1
01053	1.05	1.02	1.07	1.15	1.36	11	-7	14	4	0
01055	0.85	0.81	0.84	1.83	0.64	-140	-155	-6	24	-3
