GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.94	0.94	0.97	1.1	0.63	-3	-8	4	2	-1
01003	0.9	0.86	1.16	1.1	1.28	-207	-246	32	6	2
01005	0.94	0.78	1.09	1.04	0.93	-24	-34	9	1	0
01007	0.96	0.97	0.97	0.75	0.4	4	0	3	0	0
01009	0.98	0.91	1.37	1.91	1.89	-8	-40	1	29	1
01011	1.0	0.96	1.02	0.61	0.6	0	-5	5	0	0
01013	0.93	0.88	0.99	0.82	0.21	-27	-23	-4	-1	0
01015	0.86	0.81	1.0	1.24	0.61	-163	-179	14	7	-6
01017	0.95	0.91	0.99	1.4	1.01	-23	-30	6	2	0
01019	0.87	0.84	1.05	2.56	0.52	-30	-33	0	3	0
01021	0.93	0.89	1.04	1.64	0.61	-16	-26	4	7	0
01023	1.02	1.0	1.04	1.09	1.85	-7	-8	1	0	0
01025	1.07	1.01	1.13	1.07	1.47	24	-11	35	0	0
01027	0.87	0.88	0.8	0.9	0.68	-12	-11	0	0	0
01029	0.83	0.81	1.06	1.45	0.34	-21	-22	1	1	-1
01031	0.89	0.84	1.04	1.3	0.54	-55	-60	7	3	-6
01033	0.87	0.83	0.94	1.36	1.9	-81	-77	-8	4	1
01035	0.89	0.84	0.94	0.27	1.4	-27	-22	-4	-1	0
01037	0.96	0.93	0.99	1.9	1.41	-7	-7	-1	1	0
01039	0.89	0.84	1.2	0.96	1.38	-48	-54	6	-1	0
01041	0.85	0.85	0.82	0.94	0.44	-23	-20	-3	0	0
01043	0.91	0.88	1.2	1.7	0.81	-60	-78	2	16	0
01045	1.03	0.94	1.22	1.44	0.74	36	-11	35	15	-3
01047	1.01	0.83	1.09	1.12	1.3	4	-51	55	1	0
01049	0.96	0.89	1.49	1.65	1.45	-6	-45	3	35	1
01051	0.9	0.89	0.95	1.07	0.92	-50	-65	13	3	-2
01053	0.97	0.87	1.11	1.38	0.66	-29	-44	10	6	0
01055	0.91	0.86	1.05	1.61	0.69	-117	-146	16	14	-1
01057	0.88	0.86	0.98	1.1	0.73	-28	-29	0	1	0
01059	0.94	0.84	0.96	2.18	2.13	-24	-49	-1	26	0
01061	0.83	0.8	0.89	1.38	2.81	-45	-50	1	3	1
01063	1.02	0.61	1.09	0.0	1.41	-6	-8	3	0	0
01065	1.16	1.12	1.17	1.61	0.35	24	1	21	1	0
01067	0.89	0.84	0.89	2.2	3.69	-35	-29	-9	3	0
01069	0.92	0.85	1.08	1.28	0.77	-96	-130	31	5	-1
01071	0.87	0.86	1.06	1.0	1.04	-77	-77	0	0	0
01073	0.84	0.76	0.92	1.29	0.82	-1062	-977	-153	58	9
01075	0.88	0.84	0.93	3.33	0.0	-10	-11	-1	1	0
01077	0.81	0.79	0.9	1.18	0.88	-131	-141	5	4	1
01079	0.85	0.86	0.84	0.72	1.06	-28	-14	-10	-3	0
01081	0.72	0.65	0.95	0.84	0.78	18	-13	20	4	6
01083	0.9	0.87	0.9	1.73	0.89	-44	-57	1	14	-2
01085	1.1	1.07	1.12	0.42	0.64	15	1	14	0	0
01087	0.84	0.85	0.85	0.09	0.81	-20	-8	-12	0	1
01089	0.87	0.87	0.88	0.89	0.85	-180	-251	87	-1	-15
01091	0.96	0.88	1.03	1.33	0.41	-12	-19	6	1	0
01093	0.85	0.84	0.73	1.78	0.78	-29	-30	-2	3	0
01095	0.95	0.86	1.54	2.12	1.11	-31	-98	4	62	1
01097	0.96	0.87	1.11	1.0	1.02	-17	-242	209	6	10
01099	1.08	1.0	1.18	1.32	0.59	-3	-16	13	1	-1
01101	0.88	0.79	0.94	1.16	0.93	-135	-263	117	11	1
01103	0.92	0.85	1.13	1.48	1.06	-99	-158	28	29	1
01105	1.12	0.91	1.19	1.14	2.34	16	-2	17	0	0
01107	0.95	0.85	1.05	1.39	1.03	-10	-18	9	0	0
01109	0.84	0.76	0.94	1.31	0.44	4	-14	15	4	0
01111	1.0	0.98	0.96	2.23	1.6	-9	-12	0	3	1
01113	0.97	0.95	0.99	1.05	0.78	-3	-21	19	1	-2
01115	0.89	0.89	0.82	1.27	1.16	-63	-60	-6	4	0
01117	0.92	0.91	0.85	1.22	1.14	-140	-154	-3	14	3
01119	0.93	0.6	1.01	2.48	4.24	-1	-10	8	1	0
01121	0.9	0.88	0.94	1.12	1.45	-84	-92	6	0	1
01123	0.89	0.83	1.03	1.06	0.81	-56	-63	7	1	-1
01125	0.77	0.69	0.92	1.13	0.55	-166	-210	34	9	2
01127	0.92	0.89	1.12	1.43	1.68	-70	-80	4	3	1
01129	0.99	0.91	1.1	1.3	0.74	-8	-16	3	4	0
01131	1.1	1.04	1.12	0.94	0.0	7	-2	9	0	0
01133	0.93	0.91	2.03	1.71	1.78	-14	-18	0	3	1
02013	0.68	0.44	0.48	1.1	0.12	-10	-5	0	2	-7
02016	0.71	0.73	0.32	0.87	0.55	-13	-6	0	2	-8
02020	0.95	0.83	1.44	1.23	1.09	-168	-411	90	138	15
02050	1.34	0.91	2.4	1.43	0.63	59	-4	0	63	0
02060	0.96	0.92	0.0	1.1	0.0	-3	-1	0	-1	0
02068	0.7	0.66	0.71	1.22	0.6	-10	-10	0	0	0
02070	1.39	0.93	1.6	1.54	2.13	10	-6	0	16	0
02090	1.01	0.91	1.73	1.23	0.93	43	-48	54	37	0
02100	0.79	0.79	3.18	0.75	0.75	-10	-9	0	0	0
02105	0.82	0.72	0.0	0.92	0.5	-11	-8	0	-2	0
02110	0.82	0.71	2.25	1.2	0.99	-107	-123	2	14	-1
02122	0.95	0.9	2.03	1.29	1.17	-155	-163	1	9	-1
02130	0.93	0.81	1.39	1.35	1.04	-23	-28	0	7	-2
02150	1.21	1.06	1.33	1.54	1.33	18	-2	1	12	7
02164	1.4	1.3	0.0	1.43	2.08	3	0	0	3	0
02170	0.92	0.87	1.82	1.29	1.28	-144	-163	2	17	0
02180	1.19	0.68	1.33	1.35	0.86	16	-12	0	27	0
02185	1.19	0.76	0.53	1.31	1.34	17	-4	0	20	1
02188	1.58	1.15	2.06	1.66	1.34	38	-1	0	39	0
02195	0.95	0.85	4.75	1.27	0.63	-7	-10	1	3	0
02198	1.03	0.77	4.14	1.32	1.78	-7	-14	1	6	0
02220	0.76	0.65	1.24	0.95	1.18	-26	-30	0	3	0
02230	0.72	0.64	0.0	2.0	2.0	-3	-3	0	0	0
02240	1.02	0.89	1.55	1.49	1.63	-9	-11	1	2	0
02261	0.97	0.85	2.69	1.31	1.44	-23	-29	0	5	1
02270	1.52	1.39	6.0	1.53	0.6	40	1	0	38	0
02275	0.9	0.86	2.06	1.06	0.31	-7	-8	0	1	0
02282	0.87	0.81	0.0	0.74	4.24	-2	-2	0	0	1
02290	1.11	0.78	2.29	1.23	0.84	-3	-8	0	4	0
04001	1.36	0.97	2.88	1.43	1.48	182	-38	2	217	0
04003	1.06	0.89	1.23	1.36	0.69	-14	-165	31	136	-15
04005	0.89	0.63	1.37	1.3	0.77	-56	-255	7	193	-1
04007	1.1	0.9	1.77	1.45	1.38	-37	-94	2	54	1
04009	1.23	1.09	1.24	1.42	0.45	64	14	0	52	-2
04011	1.19	0.99	1.09	1.44	0.82	10	-4	0	13	0
04012	0.94	0.58	2.18	1.31	0.32	-23	-42	2	19	-1
04013	1.06	0.82	1.32	1.58	0.97	3885	-3304	542	6500	148
04015	1.04	0.94	1.79	1.51	0.88	-124	-227	4	103	-4
04017	1.33	1.06	2.87	1.49	1.37	211	-55	7	256	2
04019	0.9	0.66	1.2	1.28	0.74	-628	-1891	88	1178	-4
04021	1.17	0.87	1.66	1.52	1.2	153	-197	21	325	4
04023	1.22	0.73	1.55	1.29	1.07	53	-32	2	84	0
04025	0.88	0.78	2.06	1.47	0.87	-470	-572	4	99	-2
04027	1.24	0.89	1.72	1.42	1.19	392	-79	27	441	3
05001	0.93	0.84	1.12	1.21	1.27	-30	-44	13	0	0
05003	0.99	0.94	1.05	1.44	0.72	-3	-15	6	5	0
05005	0.81	0.8	3.56	1.03	0.53	-101	-99	1	-2	-2
05007	1.09	1.01	1.98	1.59	1.31	186	28	7	137	13
05009	0.91	0.9	2.98	1.34	1.05	-42	-44	1	1	0
05011	0.96	0.88	1.01	1.47	0.55	-6	-9	-2	5	0
05013	0.75	0.66	0.91	1.4	2.87	-8	-8	0	1	0
05015	1.02	0.91	1.8	1.78	0.5	-29	-56	0	27	-1
05017	1.05	0.96	1.07	1.83	2.34	-6	-14	5	3	0
05019	0.72	0.62	0.92	1.7	0.26	-10	-22	7	6	0
05021	0.94	0.95	1.38	0.69	0.45	-13	-11	0	-1	0
05023	0.83	0.83	3.05	0.89	2.17	-38	-39	1	0	0
05025	1.0	0.97	1.09	1.61	0.3	-1	-1	-1	1	0
05027	0.85	0.79	0.95	1.0	0.83	-14	-20	4	1	0
05029	0.93	0.91	0.97	1.18	0.94	-11	-12	-3	3	0
05031	0.87	0.81	1.21	1.49	0.49	-19	-74	45	12	-2
05033	1.0	0.96	1.67	1.53	1.08	-1	-25	4	19	1
05035	1.08	0.83	1.31	1.57	0.5	56	-39	95	3	-3
05037	0.93	0.88	1.04	1.84	0.77	-2	-14	9	2	0
05039	1.05	0.91	1.18	1.36	2.4	-8	-9	0	0	0
05041	1.08	0.87	1.25	1.38	1.02	5	-17	20	2	0
