GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.88	0.86	0.94	0.81	0.93	-90	-83	-9	2	0
01003	0.9	0.86	1.05	1.23	0.75	-330	-374	19	27	-2
01005	0.99	0.82	1.04	2.01	0.61	-13	-21	3	6	0
01007	1.03	0.98	1.11	1.41	1.99	-10	-16	2	4	0
01009	0.97	0.92	1.26	1.26	1.42	-55	-73	1	16	1
01011	1.17	0.91	1.14	1.71	0.66	14	-3	11	5	0
01013	0.92	0.91	0.91	1.46	0.66	-16	-18	1	1	0
01015	0.88	0.82	0.96	1.26	1.07	-82	-129	25	18	4
01017	0.91	0.86	0.87	2.4	1.6	-40	-37	-12	7	2
01019	0.87	0.83	1.35	1.0	4.98	-53	-58	1	0	3
01021	0.98	0.92	1.01	1.62	0.93	-9	-24	1	15	-1
01023	0.95	0.88	1.04	1.87	0.0	-15	-14	-2	1	0
01025	0.97	0.96	0.96	1.45	0.9	-16	-8	-10	2	0
01027	0.91	0.86	0.99	1.54	1.79	-17	-15	-3	1	0
01029	1.07	1.03	0.87	2.71	0.3	-11	-15	0	4	0
01031	0.94	0.86	1.02	1.32	1.11	-56	-71	4	9	2
01033	0.92	0.92	0.88	1.04	0.85	-62	-58	-6	2	0
01035	1.01	1.11	0.85	2.17	4.18	-4	0	-6	3	0
01037	0.86	0.8	0.89	1.76	0.8	-36	-19	-18	1	-1
01039	1.02	0.97	1.17	1.53	0.96	-10	-19	6	4	-1
01041	0.92	0.88	0.92	2.86	0.28	-12	-12	-4	4	0
01043	1.0	0.95	1.62	1.6	1.33	-25	-61	9	23	4
01045	1.06	1.04	1.01	1.35	0.99	22	-4	9	15	2
01047	0.96	0.91	0.97	1.31	1.29	1	-13	13	0	1
01049	0.94	0.83	1.11	1.38	1.11	-77	-122	2	44	-1
01051	0.87	0.85	0.88	1.08	1.15	-120	-113	-16	9	0
01053	1.07	1.03	1.09	1.41	1.01	-4	-17	10	3	0
01055	0.91	0.82	1.03	1.74	1.39	-152	-187	2	29	4
01057	1.03	0.88	1.5	1.39	18.0	-16	-27	4	1	5
01059	1.12	0.93	1.58	1.77	0.67	8	-31	0	39	0
01061	0.93	0.9	0.96	1.33	1.71	-41	-43	0	2	0
01063	1.13	1.21	1.1	2.11	4.5	8	-1	8	1	0
01065	0.99	1.0	0.98	1.23	1.0	7	-2	9	0	0
01067	0.88	0.89	0.82	1.27	1.05	-31	-23	-9	2	0
01069	0.91	0.83	1.02	1.23	1.15	-93	-138	28	12	6
01071	0.9	0.84	1.8	1.21	0.91	-75	-86	8	5	-1
01073	0.91	0.85	0.91	1.81	0.86	-78	-263	7	180	-2
01075	0.91	0.87	1.11	1.23	1.89	-20	-18	-2	0	0
01077	0.79	0.77	0.8	1.24	0.73	-124	-134	0	11	0
01079	0.9	0.95	0.74	0.62	1.63	-58	-44	-11	-4	1
01081	0.74	0.68	0.79	1.17	0.93	-106	-85	-37	25	-8
01083	0.88	0.84	0.84	1.33	0.79	-160	-152	-32	29	-5
