GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.99	0.96	1.05	1.64	0.88	-25	-31	3	4	0
01003	0.91	0.85	1.2	1.34	1.3	-313	-346	17	15	1
01005	0.99	0.84	1.0	3.48	1.41	-17	-34	3	12	1
01007	0.94	0.91	1.09	0.81	0.26	-10	-14	3	1	0
01009	0.97	0.87	2.76	2.0	0.64	-38	-80	11	31	0
01011	1.12	1.55	0.91	4.18	1.65	4	0	-5	8	0
01013	0.97	0.92	1.01	1.9	0.12	-33	-31	-4	2	-1
01015	0.92	0.87	1.04	1.42	0.9	-155	-164	1	12	-3
01017	0.9	0.86	0.96	1.41	0.76	-52	-43	-10	2	0
01019	0.93	0.86	1.6	2.66	0.66	-39	-45	4	3	0
01021	0.93	0.87	1.05	2.34	0.77	-39	-56	5	12	0
01023	0.97	0.93	1.01	1.35	0.0	-17	-9	-8	1	0
01025	1.02	1.03	1.02	0.88	0.17	-4	-4	1	0	0
01027	0.89	0.85	0.98	1.59	0.0	-22	-24	0	2	0
01029	0.82	0.75	1.76	1.12	7.43	-24	-30	3	2	1
01031	0.92	0.86	1.0	1.64	0.48	-71	-72	-4	10	-5
01033	0.88	0.84	0.94	1.8	0.84	-105	-98	-13	7	0
01035	0.96	0.85	1.04	1.69	0.51	-23	-20	-4	0	0
01037	0.81	0.82	0.77	1.79	0.0	-27	-16	-11	0	0
01039	0.91	0.85	1.21	1.7	0.27	-72	-77	3	3	-1
01041	0.92	0.98	0.77	1.19	0.0	-18	-9	-8	0	-1
01043	0.92	0.87	2.47	1.99	1.36	-98	-130	10	20	2
01045	1.12	1.11	1.11	1.39	0.72	40	9	19	14	-2
01047	1.11	1.02	1.14	1.71	1.57	-1	-29	27	1	1
01049	1.02	0.84	2.33	2.57	1.74	-20	-106	12	72	2
01051	0.96	0.9	1.09	1.39	1.02	-61	-85	20	6	-1
01053	1.05	0.97	1.15	1.25	1.02	-2	-22	16	4	0
01055	0.93	0.88	0.97	2.19	1.18	-149	-168	-5	24	1
01057	0.92	0.9	0.96	1.05	3.89	-26	-25	-3	1	1
01059	1.05	0.91	1.27	2.21	3.91	-12	-46	2	28	3
01061	0.91	0.83	1.31	1.55	1.11	-43	-50	4	3	0
01063	1.0	0.85	1.0	7.43	1.64	-17	-9	-10	1	0
01065	1.04	1.0	1.06	1.07	0.95	-4	-6	2	0	0
01067	0.94	0.98	0.85	1.33	2.25	-26	-16	-11	1	0
01069	0.98	0.91	1.11	1.38	0.9	-75	-119	37	7	0
01071	0.85	0.82	1.43	0.93	0.93	-112	-110	2	-5	0
01073	0.89	0.83	0.91	1.92	0.89	-1125	-907	-357	124	15
01075	0.86	0.86	0.77	2.24	2.25	-20	-20	-1	1	0
01077	0.81	0.76	1.02	1.6	1.0	-180	-197	5	9	2
