GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.96	0.91	0.96	2.17	1.45	-56	-67	-5	14	3
01003	0.99	0.9	1.22	2.06	1.11	-266	-342	18	53	5
01005	1.09	0.88	1.03	4.78	1.8	-19	-38	-6	24	0
01007	0.92	0.86	1.11	1.57	0.43	-21	-21	0	0	0
01009	0.97	0.8	2.93	2.58	0.59	-45	-112	13	52	1
01011	1.1	1.44	0.95	2.85	1.53	-4	-1	-8	5	0
01013	0.98	1.04	0.92	1.08	1.26	-20	-14	-6	0	1
01015	0.95	0.86	1.06	2.11	1.18	-138	-163	-3	32	-4
01017	0.96	0.99	0.91	1.28	0.89	-44	-35	-11	2	0
01019	0.92	0.87	1.44	1.99	0.13	-46	-52	3	3	0
01021	1.01	0.87	1.2	3.69	0.76	-17	-55	7	32	0
01023	0.93	0.98	0.87	1.1	2.4	-22	-8	-14	0	0
01025	0.9	1.0	0.79	1.78	0.52	-49	-20	-31	2	0
01027	0.89	0.86	0.81	1.95	0.87	-25	-24	-3	3	0
01029	0.91	0.85	1.48	1.65	1.92	-24	-30	2	3	0
01031	0.96	0.91	0.96	1.86	0.47	-44	-49	-6	15	-5
01033	0.89	0.83	1.01	2.1	0.7	-117	-119	-5	7	0
01035	1.02	1.05	1.01	0.63	0.24	-20	-9	-9	-2	0
01037	0.88	0.9	0.83	1.62	0.35	-23	-18	-7	2	0
01039	1.05	1.0	1.23	1.53	0.82	-38	-51	9	4	0
01041	0.94	1.02	0.77	0.75	1.07	-14	-5	-9	-1	0
01043	0.94	0.84	2.82	2.48	1.03	-109	-166	17	38	2
01045	1.12	1.08	1.1	1.7	0.99	28	-3	10	24	-3
01047	1.11	1.19	1.07	1.33	1.94	-20	-15	-7	2	0
01049	1.09	0.83	2.11	3.04	1.8	-17	-130	9	103	1
01051	0.93	0.9	0.91	1.83	0.77	-86	-99	-2	14	1
01053	1.09	0.98	1.21	1.61	0.95	-18	-32	6	8	0
01055	0.93	0.85	0.95	2.5	2.16	-146	-172	-15	38	3
01057	0.84	0.77	1.09	1.14	7.19	-43	-44	-2	0	3
01059	1.15	0.92	1.74	2.5	3.02	-2	-49	5	39	3
01061	0.94	0.85	1.21	1.91	2.49	-44	-52	3	5	0
01063	1.05	1.46	0.97	3.72	1.64	-8	-2	-8	1	0
01065	0.88	1.08	0.76	1.58	0.97	-31	-5	-26	0	0
01067	0.91	0.94	0.81	1.63	0.49	-19	-12	-8	2	0
01069	0.96	0.92	1.0	1.74	0.73	-127	-143	3	15	-2
01071	0.87	0.8	1.53	1.65	1.39	-110	-125	7	8	0
01073	0.96	0.89	0.93	2.84	1.01	-744	-717	-290	243	20
01075	0.96	0.91	1.25	0.89	1.71	-23	-26	2	0	0
01077	0.83	0.77	1.03	2.1	0.6	-188	-206	2	17	-1
01079	0.86	0.86	0.89	0.8	1.4	-73	-55	-10	-8	1
01081	0.68	0.6	0.79	1.71	0.88	-80	-83	-17	21	-1
01083	0.95	0.84	1.06	2.51	1.24	-89	-138	6	43	0
01085	1.01	1.48	0.87	1.24	2.2	-18	0	-20	0	1
01087	0.71	1.38	0.59	1.58	0.65	-16	6	-22	1	-1
