GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	1.0	0.98	0.99	1.68	1.04	-37	-42	-3	7	1
01003	0.96	0.87	1.3	1.73	1.0	-308	-372	31	31	2
01005	1.07	0.92	1.06	3.69	2.23	-11	-29	1	16	1
01007	0.93	0.91	0.96	1.51	0.19	-15	-16	0	1	-1
01009	1.0	0.85	3.17	2.44	0.56	-30	-87	15	42	0
01011	0.99	1.38	0.81	3.16	2.23	-10	-3	-14	6	1
01013	0.93	0.93	0.9	1.22	1.23	-29	-22	-8	1	0
01015	0.94	0.88	1.04	1.75	1.19	-141	-156	-3	20	-2
01017	0.95	0.93	0.94	1.8	1.99	-44	-33	-15	3	1
01019	0.95	0.88	1.64	2.35	0.3	-35	-44	5	4	0
01021	0.98	0.88	1.13	2.98	0.65	-27	-54	6	20	0
01023	0.86	0.83	0.88	1.05	2.0	-30	-13	-17	0	0
01025	0.99	1.08	0.89	1.53	0.76	-23	-2	-22	1	0
01027	0.82	0.75	0.92	2.05	0.28	-29	-30	-2	3	0
01029	0.91	0.85	1.8	1.25	4.29	-18	-24	3	2	0
01031	0.95	0.89	1.02	1.81	0.41	-63	-67	-5	14	-5
01033	0.86	0.83	0.91	1.85	0.92	-118	-109	-14	5	0
01035	0.98	1.01	0.94	0.93	1.26	-25	-11	-13	-1	0
01037	0.77	0.84	0.67	0.6	0.63	-30	-18	-11	0	0
01039	0.97	0.91	1.25	1.8	0.74	-56	-65	4	5	0
01041	0.95	1.03	0.71	1.99	0.34	-10	1	-11	1	-1
01043	0.91	0.85	2.42	2.19	0.68	-112	-151	10	29	0
01045	1.1	1.05	1.14	1.53	0.95	17	-11	16	15	-3
01047	1.11	1.15	1.08	1.1	2.36	-14	-20	5	0	1
01049	1.07	0.82	2.31	3.04	2.12	-20	-131	11	98	1
01051	0.93	0.9	0.99	1.51	0.73	-81	-94	9	7	-3
01053	1.06	0.96	1.19	1.4	1.07	-21	-39	11	7	0
01055	0.94	0.88	0.95	2.6	1.72	-144	-168	-14	37	1
01057	0.88	0.87	0.9	0.77	5.07	-28	-25	-4	0	2
01059	1.11	0.92	1.59	2.39	4.52	4	-39	4	34	5
01061	0.9	0.83	1.18	1.47	1.29	-55	-57	0	2	0
01063	1.01	1.37	0.93	5.45	2.4	-22	-2	-20	1	0
01065	0.94	1.08	0.87	0.82	0.33	-19	0	-18	0	-1
01067	0.95	0.97	0.85	1.94	2.77	-18	-12	-10	3	0
01069	0.99	0.93	1.09	1.68	0.64	-66	-110	30	15	-1
01071	0.9	0.85	1.81	1.1	0.82	-89	-94	7	-2	0
01073	0.93	0.87	0.91	2.44	0.97	-994	-806	-390	180	23
01075	0.87	0.83	1.08	1.01	0.67	-27	-27	0	0	0
01077	0.8	0.75	0.97	1.9	0.78	-202	-216	0	13	1
01079	0.86	0.87	0.95	0.66	0.12	-58	-42	-6	-10	0
01081	0.67	0.6	0.84	1.22	0.73	-69	-75	-2	12	-3
01083	0.9	0.81	1.01	2.56	1.07	-91	-126	0	35	-1
01085	1.03	1.51	0.89	1.89	1.31	-6	0	-7	1	0
01087	0.71	1.4	0.6	2.34	0.42	-27	6	-34	2	-1
01089	0.84	0.83	0.8	1.43	0.98	-633	-608	-45	26	-6
01091	1.0	1.06	0.94	1.58	1.04	-21	-8	-15	2	0
01093	0.93	0.88	1.84	1.51	0.36	-57	-66	7	2	-1
01095	1.19	0.94	3.1	3.32	1.49	22	-128	27	119	4
01097	0.99	0.94	1.06	1.23	0.9	-358	-353	-26	18	3
01099	0.97	0.99	0.95	1.03	0.71	-24	-15	-10	2	0
01101	0.97	1.05	0.88	2.42	1.14	-86	-108	-25	44	4
01103	0.96	0.83	1.16	2.59	0.83	-144	-236	22	72	-2
01105	1.15	1.08	1.18	0.48	1.94	7	-4	11	0	0
01107	0.92	1.0	0.84	1.12	0.97	-30	-17	-14	0	0
01109	0.82	0.78	0.82	1.76	0.84	-13	-11	-9	6	2
01111	0.97	0.84	1.18	2.25	5.43	-20	-34	9	4	2
01113	0.96	1.09	0.77	1.32	1.5	-52	-13	-45	4	1
01115	0.88	0.84	1.07	1.67	1.02	-111	-120	3	6	1
01117	0.98	0.92	1.05	2.11	1.31	-142	-237	24	63	9
01119	0.85	0.82	0.84	1.04	4.43	-27	-1	-27	0	1
01121	0.98	0.97	0.9	2.45	3.18	-102	-92	-26	10	6
01123	0.93	0.88	0.94	3.18	1.14	-69	-75	-3	9	0
01125	0.79	0.74	0.83	1.72	0.78	-174	-198	-10	26	9
01127	0.95	0.9	1.4	1.9	1.53	-108	-124	9	6	1
01129	0.93	0.92	0.9	1.06	1.53	-29	-19	-9	-2	0
01131	1.18	1.55	1.08	1.89	1.71	7	1	5	1	0
01133	0.85	0.81	5.44	1.35	0.88	-41	-45	5	-1	0
02013	0.59	0.69	0.0	0.97	0.11	-12	-2	0	0	-9
02016	0.54	0.57	0.43	0.87	0.25	-19	-6	0	-1	-11
02020	0.96	0.81	1.37	1.32	1.1	-293	-560	65	180	22
02050	1.68	1.47	4.1	1.7	1.09	87	3	3	81	0
02060	0.7	0.69	1.2	0.74	0.3	-9	-6	0	-3	0
02068	1.08	0.71	3.69	3.93	0.4	-4	-8	0	4	0
