GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.84	0.83	0.87	0.81	1.13	-97	-91	-9	2	0
01003	0.94	0.9	1.05	1.37	0.74	-243	-303	26	39	-5
01005	1.03	0.83	1.07	2.25	0.96	-2	-21	9	10	0
01007	1.0	0.97	1.04	1.39	1.26	-20	-23	1	2	-1
01009	0.99	0.92	1.68	1.38	1.73	-50	-81	4	25	2
01011	1.15	1.23	1.04	2.13	0.65	14	1	5	7	0
01013	0.89	0.9	0.85	2.02	1.02	-14	-14	-3	2	1
01015	0.87	0.81	0.97	1.23	0.91	-97	-139	24	17	1
01017	0.96	0.95	0.89	2.5	1.26	-25	-26	-7	7	1
01019	0.85	0.8	1.38	0.99	5.19	-51	-54	2	-1	2
01021	1.01	0.95	1.12	1.52	0.87	-10	-32	5	15	1
01023	0.93	0.85	1.02	2.28	0.63	-17	-16	-3	0	0
01025	0.92	0.92	0.89	1.82	1.43	-26	-14	-15	3	0
01027	0.88	0.83	0.92	1.43	1.67	-17	-17	-3	3	0
01029	0.98	0.96	1.44	1.33	0.71	-14	-17	2	1	0
01031	0.96	0.9	0.96	1.37	1.24	-40	-64	1	19	4
01033	0.9	0.91	0.85	0.77	0.96	-75	-64	-8	-2	-1
01035	1.12	1.07	1.11	2.67	1.49	3	0	1	3	0
01037	0.79	0.77	0.8	1.23	0.24	-37	-19	-18	0	-1
01039	0.99	0.96	1.15	1.15	1.27	-13	-22	9	1	0
01041	0.92	0.92	0.8	3.12	0.3	-8	-6	-5	4	-1
01043	1.01	0.94	1.48	1.78	2.32	-13	-61	7	32	9
01045	1.02	1.0	0.99	1.32	0.81	18	-8	10	15	1
01047	0.99	0.88	1.01	2.03	1.29	21	-13	30	3	1
01049	0.97	0.86	1.03	1.51	0.51	-52	-107	-1	59	-3
01051	0.82	0.8	0.83	1.09	1.12	-135	-129	-17	10	1
01053	1.01	0.97	0.99	1.38	1.48	-7	-11	2	1	0
01055	0.87	0.8	0.93	1.81	0.64	-152	-169	-9	28	-2
01057	1.01	0.89	1.33	1.89	18.0	-15	-22	1	2	4
01059	1.11	0.95	1.52	1.74	0.53	9	-27	-3	38	0
01061	0.91	0.89	0.95	1.14	1.03	-42	-44	1	2	0
01063	1.06	1.02	1.02	3.45	3.0	-1	-2	0	1	0
01065	1.06	1.08	1.0	3.17	3.6	17	-3	15	3	2
01067	0.83	0.82	0.83	1.05	0.44	-27	-22	-6	0	0
01069	0.9	0.84	0.96	1.27	0.98	-77	-107	17	11	1
01071	0.85	0.81	1.57	1.14	0.57	-78	-84	5	4	-2
01073	0.93	0.86	0.93	1.75	0.86	-48	-310	76	181	4
01075	0.86	0.85	0.93	1.03	0.6	-20	-18	-3	1	0
01077	0.78	0.75	0.84	1.27	0.57	-129	-139	0	11	0
01079	0.91	0.95	0.87	0.66	1.19	-61	-50	-9	-3	1
01081	0.74	0.67	0.81	1.2	1.0	-53	-71	-9	26	1
01083	0.9	0.86	0.87	1.38	0.82	-133	-141	-22	31	-1
01085	1.0	0.97	1.0	1.06	1.2	-7	-7	0	0	0
01087	0.66	0.86	0.61	1.79	0.61	-17	-6	-13	2	-1
01089	0.87	0.85	0.84	1.2	0.76	-406	-453	21	47	-21
01091	0.99	1.14	0.86	1.68	0.97	-16	-2	-16	2	-1
01093	0.94	0.9	1.51	1.52	0.84	-41	-44	1	2	0
01095	1.11	0.9	1.86	2.09	1.77	26	-115	14	121	6
01097	0.98	0.91	1.05	1.06	1.08	81	-187	247	16	5
01099	0.86	0.82	0.89	0.95	0.65	-33	-27	-7	1	0
01101	0.94	0.88	0.89	2.75	1.03	69	-101	80	88	3
01103	0.95	0.85	0.97	1.71	1.16	-129	-200	1	66	3
01105	0.84	0.69	0.88	1.27	0.73	-1	-4	2	1	0
01107	0.83	0.75	0.96	0.51	0.09	-46	-37	-3	-5	-1
01109	0.67	0.61	0.74	0.81	0.57	-3	-6	1	0	1
01111	1.01	0.95	1.07	1.49	2.51	-22	-25	-1	4	1
01113	1.07	1.12	0.94	1.78	1.48	60	31	-3	25	7
01115	0.96	0.94	0.93	1.55	0.96	-75	-78	-3	10	-4
01117	0.91	0.88	0.8	1.42	1.29	-303	-336	-37	56	13
01119	0.76	0.64	0.8	0.5	0.66	-5	-1	-6	0	2
01121	0.82	0.85	0.74	1.35	0.37	-147	-97	-49	5	-6
01123	0.94	0.86	0.97	2.28	1.49	-57	-60	-4	7	1
01125	0.76	0.66	0.83	1.82	0.66	29	-110	53	74	11
01127	1.02	0.94	1.24	2.93	1.31	-33	-68	13	21	2
01129	0.92	1.02	0.9	0.53	0.36	-22	-16	-4	-3	0
01131	1.02	0.95	1.03	2.0	2.0	-2	-7	5	0	0
01133	0.89	0.86	1.47	1.38	1.29	-43	-47	1	3	1
02013	0.56	1.08	0.52	0.9	0.16	-12	0	0	-2	-11
02016	0.53	0.92	0.84	0.85	0.26	-22	-4	0	-4	-15
02020	1.02	0.85	1.37	1.26	1.24	350	-95	98	221	126
02050	1.69	1.11	3.61	1.78	0.82	114	7	2	103	1
02060	1.07	0.62	0.92	1.74	0.73	1	-1	0	2	0
02063	1.17	1.08	1.92	1.42	1.17	6	0	1	6	0
02066	1.26	1.22	2.67	1.19	2.63	6	3	0	2	0
02068	0.71	0.74	0.57	0.86	0.12	-7	-4	0	-1	-2
02070	1.63	1.1	1.26	1.79	1.07	28	2	0	25	0
