GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	1.0	0.97	1.06	1.44	1.16	-31	-40	3	5	1
01003	0.93	0.86	1.27	1.35	1.01	-328	-374	28	17	1
01005	1.04	0.9	1.01	4.23	1.79	-11	-30	1	17	1
01007	0.93	0.91	1.01	1.04	0.21	-18	-18	0	0	0
01009	0.99	0.86	3.26	2.21	0.6	-25	-77	15	37	0
01011	1.11	1.39	0.9	4.3	5.37	2	-2	-6	9	1
01013	0.96	0.94	0.97	1.87	0.46	-25	-25	-2	2	0
01015	0.92	0.86	1.04	1.5	0.91	-157	-166	0	14	-5
01017	0.92	0.88	0.94	1.75	1.14	-47	-36	-14	2	1
01019	0.92	0.84	1.8	2.82	0.19	-42	-50	5	4	0
01021	0.97	0.89	1.13	2.57	0.73	-24	-48	8	16	1
01023	0.9	0.87	0.92	1.47	0.0	-24	-9	-14	0	0
01025	0.98	0.98	0.98	1.6	0.51	-16	-12	-5	1	0
01027	0.84	0.78	0.92	2.18	0.41	-26	-28	-1	3	0
01029	0.92	0.84	2.0	1.64	9.0	-12	-20	4	3	1
01031	0.94	0.88	1.01	1.65	0.72	-63	-68	-3	12	-4
01033	0.87	0.84	0.9	1.92	0.75	-109	-101	-16	7	0
01035	0.95	0.89	0.99	1.53	0.79	-30	-19	-10	-1	0
01037	0.81	0.81	0.8	1.31	0.0	-26	-18	-8	0	0
01039	0.93	0.87	1.15	1.51	0.77	-69	-74	2	3	0
01041	0.98	1.02	0.8	2.46	0.0	-14	-6	-9	2	-1
01043	0.94	0.88	2.92	2.14	1.07	-102	-141	13	25	1
01045	1.13	1.08	1.2	1.62	0.9	35	-5	22	19	-1
01047	1.14	1.1	1.15	1.71	1.96	-5	-27	19	2	1
01049	1.03	0.84	2.32	2.58	1.97	-29	-120	11	77	3
01051	0.93	0.89	1.02	1.48	0.73	-81	-96	11	6	-2
01053	1.07	0.98	1.19	1.31	1.15	-6	-27	18	3	0
01055	0.94	0.87	0.99	2.57	1.83	-150	-179	-8	33	3
01057	0.9	0.89	0.82	0.95	6.13	-26	-24	-5	0	2
01059	1.07	0.89	1.48	2.4	4.8	-9	-48	3	31	5
01061	0.92	0.84	1.22	1.95	0.7	-48	-52	1	3	0
01063	1.07	1.25	1.01	9.5	2.25	-17	-4	-15	2	0
01065	1.05	1.07	1.06	0.49	0.63	-4	-4	0	0	0
01067	1.0	1.0	0.93	2.23	0.0	-18	-14	-8	4	0
