GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.94	0.88	1.0	1.9	1.32	-77	-93	4	10	2
01003	1.03	0.9	1.28	2.56	1.22	-240	-350	28	78	4
01005	1.12	0.99	1.02	4.09	1.1	-25	-32	-13	21	-1
01007	0.89	0.82	1.09	1.3	1.24	-30	-31	0	1	0
01009	0.97	0.8	2.65	2.46	0.69	-53	-120	15	52	0
01011	1.29	1.62	1.06	4.29	1.25	0	-1	-7	8	0
01013	1.04	1.07	0.99	1.69	1.06	-15	-15	-2	2	0
01015	0.97	0.87	1.09	2.19	1.38	-93	-144	18	35	-3
01017	0.95	0.95	0.93	1.61	1.22	-41	-34	-10	2	1
01019	0.9	0.87	1.35	1.06	0.42	-45	-47	1	2	0
01021	1.01	0.87	1.18	3.46	1.31	-24	-59	4	30	1
01023	0.94	0.92	0.95	0.94	2.79	-25	-14	-12	0	1
01025	0.84	0.93	0.76	0.95	0.47	-58	-23	-36	1	0
01027	0.91	0.85	0.84	2.51	0.88	-26	-28	-2	5	0
01029	0.93	0.86	2.17	1.04	0.49	-26	-33	5	2	0
01031	0.97	0.88	1.0	2.12	0.77	-11	-40	8	23	-2
01033	0.9	0.83	1.06	2.01	1.03	-115	-117	-4	6	0
01035	0.93	1.0	0.86	1.02	0.54	-21	-8	-11	-2	0
01037	0.84	0.87	0.72	3.0	0.59	-19	-11	-9	2	0
01039	1.05	0.99	1.33	1.29	0.93	-21	-38	14	2	0
01041	1.02	1.05	0.83	2.59	2.25	-4	-4	-4	3	1
01043	0.99	0.87	3.37	2.66	0.86	-79	-147	24	42	1
01045	1.14	1.08	1.17	1.85	0.87	45	5	18	25	-3
01047	1.16	1.25	1.12	1.5	1.93	-9	-8	-4	2	1
01049	1.13	0.83	2.63	3.27	1.48	5	-133	16	120	1
01051	0.95	0.92	0.92	2.03	1.01	-85	-105	-1	18	2
01053	1.12	1.04	1.18	1.38	2.77	-14	-25	2	7	2
01055	0.94	0.84	1.06	2.57	1.91	-113	-163	6	40	4
01057	0.81	0.78	0.93	0.94	2.7	-41	-38	-5	1	1
01059	1.19	0.87	2.0	2.91	2.75	8	-56	6	55	3
01061	0.99	0.91	1.2	2.01	2.67	-35	-45	3	6	0
01063	1.04	1.61	0.94	3.48	2.5	-9	0	-10	1	0
01065	0.94	1.1	0.83	2.14	0.94	-30	-9	-24	2	1
01067	0.89	0.85	0.9	1.3	2.18	-21	-21	-4	3	0
01069	0.99	0.93	1.04	1.85	0.78	-84	-124	21	19	-1
01071	0.89	0.8	1.92	1.79	2.53	-86	-113	15	10	1
01073	0.99	0.9	0.97	3.01	1.13	-386	-575	-118	278	29
01075	1.07	1.03	1.33	0.89	5.54	-14	-16	0	0	0
01077	0.84	0.77	1.06	1.93	0.86	-174	-199	8	17	0
01079	0.92	0.91	1.03	0.86	1.73	-71	-61	-5	-6	0
01081	0.7	0.61	0.83	1.85	0.9	-29	-53	-5	29	0
01083	0.99	0.84	1.15	2.99	1.11	-97	-162	4	60	1
01085	1.08	1.41	0.98	1.01	1.97	-13	-2	-12	0	0
01087	0.71	1.33	0.6	1.6	0.62	-20	4	-24	1	-2
01089	0.91	0.87	0.85	1.96	1.0	-733	-768	-38	79	-5
01091	1.05	1.08	0.98	1.89	1.55	-9	-14	0	4	0
01093	0.99	0.91	2.42	1.26	1.92	-36	-48	10	1	1
01095	1.33	0.93	3.54	4.21	1.21	71	-158	36	190	2
01097	1.05	0.99	1.11	1.61	1.04	-94	-259	90	52	23
01099	0.93	0.9	0.97	0.68	1.54	-37	-28	-9	0	0
01101	0.99	1.02	0.89	3.68	1.11	0	-91	-2	92	2
01103	1.01	0.81	1.14	3.32	1.27	-151	-287	19	117	0
01105	0.98	0.98	0.98	0.69	3.26	0	3	-3	0	1
01107	0.89	0.88	0.87	1.57	0.84	-39	-28	-13	2	0
01109	0.85	0.81	0.84	2.17	0.53	-1	-9	-1	8	1
01111	1.04	0.88	1.28	2.85	2.67	-21	-37	7	8	1
01113	1.06	1.15	0.88	1.89	1.66	-16	-10	-25	18	1
01115	0.99	0.94	1.22	1.96	0.97	-94	-110	3	12	1
01117	0.97	0.89	0.91	2.65	1.24	-228	-346	2	106	11
01119	0.91	1.08	0.86	0.57	0.55	-5	7	-12	0	0
01121	1.03	0.99	0.97	3.27	3.62	-42	-70	5	16	7
01123	0.97	0.88	0.98	3.31	2.58	-46	-63	3	12	2
01125	0.8	0.76	0.79	2.36	0.58	4	-85	36	50	2
01127	0.98	0.91	1.52	2.0	1.33	-95	-114	10	10	-1
01129	1.0	1.01	0.92	1.23	1.3	-26	-18	-6	-1	0
01131	1.09	1.3	1.01	3.34	1.0	-1	2	-5	2	0
01133	0.92	0.85	3.15	2.24	0.0	-46	-56	5	5	0
02013	0.76	0.97	2.7	1.19	0.18	-12	-2	1	0	-11
02016	0.67	0.73	0.42	1.08	0.37	-14	-5	-1	-1	-8
02020	1.04	0.9	1.44	1.31	1.19	38	-330	99	203	65
02050	1.79	1.74	2.69	1.81	0.96	92	8	2	83	0
02060	0.72	0.63	0.0	0.74	1.85	-7	-4	0	-3	0
02068	0.82	0.79	2.0	1.33	0.0	-6	-6	0	0	0
02070	1.31	1.33	1.78	1.32	0.67	6	0	0	6	0
02090	1.1	1.01	1.7	1.26	1.03	101	-6	50	57	0
02100	0.91	0.87	0.0	1.19	0.32	-10	-10	0	1	0
02105	1.01	1.18	2.4	0.91	0.0	-5	-3	0	-2	0
02110	0.87	0.75	2.53	1.12	1.11	-79	-86	3	6	-2
02122	1.03	1.01	2.5	1.04	1.21	-103	-108	4	2	-1
02130	1.03	0.87	2.72	1.31	1.28	-12	-28	4	9	3
02150	1.23	1.16	2.57	1.33	1.15	23	8	4	11	0
02164	1.26	1.75	3.36	1.16	0.33	1	0	0	1	0
02170	1.11	1.04	2.43	1.38	1.23	-63	-111	13	32	3
02180	1.8	1.24	3.91	1.93	1.32	49	0	1	48	0
02185	1.62	1.39	2.68	1.7	1.19	23	1	2	22	-2
02188	2.04	2.18	4.89	2.0	1.49	54	4	1	48	0
02195	0.96	0.89	2.05	1.17	0.64	-10	-11	0	2	-1
02198	0.89	0.87	0.0	0.88	2.36	-17	-13	0	-4	0
02220	0.92	0.81	1.96	1.05	1.24	-10	-12	1	-1	1
02230	1.13	0.69	0.0	5.62	6.0	2	0	0	2	1
02240	1.38	1.3	2.62	1.49	1.86	13	6	2	4	1
02261	0.95	0.89	2.66	1.1	0.79	-20	-25	2	2	0
02270	2.08	3.16	3.94	1.99	0.0	60	9	2	50	0
02275	0.96	0.95	1.59	1.0	0.8	-8	-8	0	0	0
02282	1.46	1.59	8.0	1.45	0.31	2	2	0	0	0
02290	1.08	1.15	2.1	1.04	0.64	-7	-2	1	-6	0
04001	1.45	1.98	3.97	1.29	1.71	174	37	34	98	6
04003	1.21	1.04	1.66	1.4	1.02	53	-117	33	137	-1
04005	1.03	0.73	2.16	1.39	0.81	121	-123	24	220	0
04007	1.32	0.99	3.45	1.68	1.0	10	-89	9	90	-1
04009	1.35	1.28	4.05	1.35	1.13	71	30	10	29	1
04011	1.32	1.11	6.77	1.37	0.5	19	-1	6	15	0
04012	1.26	1.42	3.41	1.1	1.04	3	-12	4	12	0
04013	1.17	0.84	1.39	1.66	1.06	4781	-5616	800	9324	274
04015	1.14	0.98	2.36	1.55	1.19	-215	-390	24	152	-1
04017	1.35	1.35	2.85	1.31	1.02	126	-14	27	111	2
04019	1.02	0.74	1.53	1.3	1.06	-229	-1800	187	1348	37
04021	1.33	1.19	1.92	1.45	1.36	792	89	109	562	33
04023	1.41	1.25	2.99	1.43	1.05	98	-12	5	104	1
04025	1.05	0.82	2.99	1.81	1.19	-404	-626	21	199	1
04027	1.43	1.22	2.09	1.48	1.47	584	23	37	514	10
05001	1.02	0.96	1.06	2.11	1.12	-19	-20	-2	3	1
05003	0.98	0.94	0.86	2.24	1.21	-16	-16	-13	12	0
05005	0.97	0.95	1.45	1.16	1.81	-97	-101	2	3	0
05007	1.11	0.93	1.91	1.82	1.12	189	-202	48	315	29
05009	0.99	0.93	4.76	2.0	0.45	-45	-61	7	10	-1
05011	1.14	0.96	0.92	3.2	0.5	-7	-14	-7	14	0
05013	0.9	0.94	0.63	1.57	3.43	-12	-7	-6	1	0
05015	1.11	0.92	6.01	1.72	1.29	-24	-55	6	26	0
05017	1.24	1.39	1.03	3.49	0.94	-3	-2	-7	7	0
05019	0.74	0.64	0.83	2.22	0.56	-8	-14	-3	9	0
05021	0.93	0.88	2.72	1.76	3.0	-23	-28	3	1	1
05023	0.99	0.94	2.4	1.61	3.53	-52	-58	1	3	1
05025	1.01	0.94	1.29	1.25	1.55	-12	-18	5	0	1
05027	0.92	0.92	0.8	2.44	2.28	-32	-26	-14	6	2
05029	1.05	0.96	1.15	2.06	2.23	-15	-19	-5	8	1
05031	0.96	0.87	1.09	2.49	0.86	23	-87	59	48	3
05033	1.04	0.97	2.69	1.26	1.45	-50	-87	16	18	3
05035	1.2	1.12	1.21	2.21	1.38	40	-16	42	13	0
05037	0.99	0.95	0.98	1.73	1.72	-26	-19	-12	4	1
05039	1.17	1.08	1.14	3.11	3.65	-3	-5	1	2	0
05041	1.25	1.08	1.23	3.18	2.4	12	-6	10	7	1
05043	0.97	0.93	0.91	1.85	3.18	-21	-25	-4	5	2
05045	0.86	0.83	0.8	1.9	0.78	-7	-67	20	36	4
05047	1.04	0.99	1.47	1.69	2.45	-15	-23	1	5	1
05049	0.98	0.94	3.0	1.24	0.31	-23	-25	2	1	-1
05051	1.04	0.95	1.16	2.01	1.4	-110	-157	6	38	3
05053	0.81	0.75	1.4	1.77	0.94	-46	-51	3	2	0
05055	1.04	0.98	3.09	1.77	1.98	-15	-32	8	8	1
05057	1.2	1.03	1.11	1.96	3.21	8	-21	4	22	3
05059	1.01	0.93	1.05	2.56	1.82	-33	-48	2	11	1
05061	1.12	0.89	1.14	2.21	1.71	-1	-25	4	20	0
05063	1.14	0.98	2.79	3.89	1.0	-10	-51	12	27	2
05065	0.9	0.89	1.26	1.15	0.51	-31	-33	1	1	0
05067	0.91	0.81	1.11	2.1	2.57	-25	-34	5	3	1
05069	1.07	1.03	1.07	2.04	1.13	-21	-54	19	11	2
05071	1.1	1.02	2.01	1.42	0.76	13	-14	3	23	1
05073	1.03	0.9	1.1	1.86	2.54	-12	-7	-6	0	0
05075	0.92	0.89	2.04	1.1	2.88	-22	-27	2	1	2
05077	1.12	1.24	1.0	1.71	4.37	-2	0	-5	1	1
05079	1.09	1.0	1.12	2.34	4.55	-4	-9	1	3	1
05081	0.96	0.91	0.86	1.81	0.56	-16	-18	-4	6	0
05083	1.05	0.97	4.02	1.62	0.82	-32	-42	7	3	0
05085	1.0	0.91	1.48	1.97	1.56	-41	-82	15	22	3
05087	1.02	0.88	3.27	2.58	0.48	-21	-33	2	11	-1
05089	0.91	0.84	5.89	1.48	2.0	-47	-51	3	2	-1
05091	1.07	0.99	1.02	2.75	0.81	5	-27	6	26	1
05093	1.22	1.17	1.22	2.09	1.21	47	0	31	16	0
05095	1.24	1.16	1.11	4.18	4.53	-4	-7	-2	3	1
05097	0.95	0.83	4.56	1.89	1.03	-24	-30	2	4	0
05099	1.02	1.0	0.91	1.83	2.67	-10	-8	-6	3	1
05101	0.87	0.83	6.92	1.1	0.51	-24	-26	1	0	0
05103	1.13	1.08	1.14	2.45	1.23	-25	-23	-8	5	0
05105	0.99	0.93	2.78	1.1	2.78	-21	-24	2	0	0
05107	1.38	1.49	1.31	2.68	1.21	34	9	21	5	0
05109	0.85	0.73	1.34	2.25	0.27	-20	-26	0	7	0
05111	1.15	1.06	1.56	2.34	1.66	-6	-18	7	6	0
05113	1.07	1.0	3.07	1.46	1.62	-26	-35	3	6	1
05115	1.02	0.92	2.04	1.73	0.79	-7	-52	19	25	0
05117	0.85	0.79	1.13	0.59	1.19	-19	-19	0	0	0
05119	1.06	0.97	1.0	2.69	1.49	66	-281	100	206	42
05121	1.05	0.99	3.43	1.83	1.49	-14	-22	4	5	0
05123	1.24	1.32	1.16	2.19	1.09	20	3	14	3	0
05125	0.93	0.87	1.19	1.81	1.74	-151	-202	15	31	5
05127	1.0	0.88	3.43	1.56	0.98	-19	-25	2	4	0
05129	0.9	0.81	12.0	1.03	1.78	-18	-22	3	1	0
05131	1.18	0.96	1.67	2.07	1.07	57	-145	48	153	1
05133	1.57	1.08	1.77	2.39	1.0	68	-5	4	70	-2
05135	1.04	0.98	4.7	1.1	2.0	-26	-29	5	-2	0
05137	1.0	0.97	1.86	1.11	1.33	-28	-28	1	-1	1
05139	1.03	0.9	1.09	2.93	1.19	-38	-55	-1	18	-1
05141	1.0	0.94	3.71	2.11	0.38	-31	-37	3	2	0
05143	1.13	0.91	1.51	2.19	0.91	302	-99	63	324	14
05145	0.97	0.89	1.36	1.79	2.7	-44	-83	11	22	6
05147	1.06	0.95	1.29	1.13	1.61	-7	-9	1	1	0
05149	1.3	0.94	2.56	2.42	1.37	18	-41	7	50	2
06001	0.95	0.77	0.87	1.41	0.85	-1460	-2001	-300	1391	-550
06003	0.92	1.12	0.0	0.81	0.0	-3	-2	0	-1	0
06005	0.92	0.79	1.84	1.42	1.67	-116	-125	3	7	0
06007	0.84	0.69	1.89	1.25	1.11	-163	-389	31	160	35
06009	0.86	0.74	2.22	1.33	1.04	-164	-172	4	4	0
06011	1.39	0.85	1.61	1.69	1.53	53	-22	0	74	2
06013	0.98	0.78	0.96	1.46	0.86	-1807	-2392	-118	1027	-324
06015	1.13	0.93	3.06	1.55	1.43	-40	-66	3	21	2
06017	0.92	0.76	1.54	1.69	1.0	-693	-789	8	106	-17
