GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	N_CRR	Z_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE	N_ACE	Z_ACE
Area Outside Region	0.81	0.79	0.0	0.0	0.93	0.0	0.0	-1	-1	0	0	0	0	0
Auckland Region	0.89	0.8	1.2	0.5	1.05	0.77	1.04	-413	-1451	31	0	1028	-34	12
Bay of Plenty Region	1.05	0.9	1.65	0.75	1.37	1.03	1.38	-179	-432	1	1	242	6	3
Canterbury Region	0.87	0.83	1.41	0.71	1.04	0.95	1.67	-724	-932	9	1	187	6	4
Gisborne Region	1.2	1.0	0.0	3.96	1.41	1.71	4.22	19	-47	0	1	63	1	1
Hawke's Bay Region	1.06	0.9	1.28	1.01	1.45	1.43	1.95	-84	-253	2	1	159	7	1
Manawatu-Wanganui Region	0.96	0.84	1.19	1.17	1.32	1.14	1.14	-170	-389	2	2	208	6	2
Marlborough Region	0.87	0.82	1.55	1.04	1.18	0.32	1.31	-103	-109	1	1	6	-1	0
Nelson Region	0.84	0.76	1.69	0.0	1.36	1.88	0.0	-115	-139	1	-1	24	2	-1
Northland Region	1.11	0.93	1.23	1.1	1.43	0.86	3.02	-151	-287	0	1	131	0	3
Otago Region	0.73	0.7	0.51	0.53	0.89	0.54	0.96	-395	-450	1	2	56	-3	0
Southland Region	0.96	0.86	1.55	0.0	1.53	0.95	0.0	-125	-196	1	0	71	0	0
Taranaki Region	0.96	0.85	1.42	0.79	1.43	0.88	1.17	-141	-215	1	1	72	0	0
Tasman Region	1.05	0.99	0.94	3.86	1.59	1.11	0.0	-82	-102	0	0	19	1	0
Total - Regional Council Areas	0.92	0.83	1.27	0.66	1.16	0.82	1.16	-3134	-6261	66	12	2997	16	36
Waikato Region	1.03	0.93	1.38	1.38	1.29	0.97	1.34	-55	-435	7	3	354	10	6
Wellington Region	0.86	0.77	1.34	0.84	1.12	0.83	1.1	-341	-692	15	2	327	5	3
West Coast Region	0.87	0.82	0.0	0.0	1.23	0.7	1.19	-76	-86	0	0	8	0	1
