id	mothers	kids
E06000046	33.5	4.25
E06000035	203.5	40.75
E06000042	222.75	94.25
E06000044	191.5	36
E06000038	206.625	44.5
E06000039	393.625	80.25
E06000045	253.625	40.75
E06000037	53.5	14.75
E06000040	150.75	32.75
E06000041	120.25	27.25
E07000004	96.5	23.25
E07000005	48.25	13.25
E07000006	75.75	18.75
E07000007	116.875	41.75
E07000061	64.375	9.5
E07000062	59.625	8.25
E07000063	40.875	5.5
E07000064	31	4.25
E07000065	43	7.25
E07000084	84.125	17.5
E07000085	39.875	6
E07000086	63.375	21.5
E07000087	31.875	5
E07000088	29.5	4.75
E07000089	41.125	6.5
E07000090	34.25	3.5
E07000091	53.125	11.75
E07000092	101	14.25
E07000093	53.75	8.75
E07000094	51.375	10.25
E07000105	66.125	12.75
E07000106	130.5	10.25
E07000107	100.25	30.25
E07000108	31.25	8
E07000109	212	51.25
E07000110	76.5	17
E07000111	39.75	7.75
E07000112	50.5	6.25
E07000113	38.25	8.5
E07000114	57.125	10
E07000115	47.375	12
E07000116	61.125	11.75
E07000177	90.75	27
E07000178	282	57.75
E07000179	50.125	13.25
E07000180	51.5	15.25
E07000181	41.875	11.25
E07000207	145.375	26.25
E07000208	95.875	14.75
E07000209	156.625	23.75
E07000210	45	10.25
E07000211	115.625	23.5
E07000212	98.625	15.25
E07000213	112.5	28.5
E07000214	75	13.75
E07000215	55.125	11
E07000216	60.625	6.5
E07000217	109	27.75
E07000223	20.5	5.25
E07000224	37.25	8.5
E07000225	37.25	5.25
E07000226	125	29.25
E07000227	44.5	11.25
E07000228	66.25	9.25
E07000229	54.5	17
E06000022	101.25	15.75
E06000028	215	35
E06000023	479.625	141.75
E06000052	136.375	25
E06000053	0.5	0.5
E06000024	47.375	10.25
E06000026	125.375	22.5
E06000029	68.75	9.5
E06000025	101.125	32.75
E06000030	147.625	24
E06000027	35.375	8
E06000054	168.5	51.5
E07000040	26.25	4
E07000041	71.5	17
E07000042	11	2.25
E07000043	18.125	6.25
E07000044	14.5	2
E07000045	27.5	3.5
