id	mothers	kids
E07000201	224.75	46.75
E07000202	459.375	83.75
E07000203	121.25	12.25
E07000204	216	32.75
E07000205	222.875	36.5
E07000206	164.25	20.75
E09000007	5107.875	318
E09000001	195.375	13
E09000012	2879.25	325
E09000013	3062.25	239
E09000014	3004.75	458
E09000019	3308	218.75
E09000020	3314.875	209.5
E09000022	3292.25	342.75
E09000023	4234.625	677
E09000025	4210.875	671.5
E09000028	5206.5	453.5
E09000030	5166.5	386.25
E09000032	3603.5	421.75
E09000033	4718.375	358.5
E09000002	1315	266.75
E09000003	6057.5	846
E09000004	1355.125	200.75
E09000005	5012.125	789.25
E09000006	1812.375	290.25
E09000008	3795.75	673.25
E09000009	5804.75	1000
E09000010	2962.625	540.25
E09000011	3870.25	503.25
E09000015	4149	818.25
E09000016	904.375	137
E09000017	3631	644.5
E09000018	3802.875	632.5
E09000021	2927.625	419.75
E09000024	3267	498.5
E09000026	3492.125	684.75
E09000027	1556.375	237.25
E09000029	2068.5	331.5
E09000031	2777.375	526.25
E06000036	605.25	94
E06000043	2051.25	176.25
E06000046	236.125	42.5
E06000035	813.75	110
E06000042	1890.75	324
E06000044	1514.625	181.5
E06000038	1601.625	211.5
E06000039	1255	276
E06000045	2156	269
E06000037	391.125	73.75
E06000040	782.625	98.5
E06000041	713.875	121.75
E07000004	612.125	94.75
E07000005	332.625	63.5
E07000006	342.25	57.5
E07000007	783.875	133.5
E07000061	411.5	42.75
E07000062	303	51
E07000063	214.125	24.5
E07000064	170.125	18
E07000065	250.375	27
E07000084	840.25	124.25
E07000085	287.625	29.75
E07000086	354.875	56.25
E07000087	244.375	36.75
E07000088	129.25	21.75
E07000089	300.25	40.25
E07000090	189.125	22.5
E07000091	262.375	33.25
E07000092	1210.5	131.75
E07000093	286.75	38.75
E07000094	511.75	38.25
E07000105	501.125	55.25
E07000106	946.375	52.5
E07000107	461.75	94.25
E07000108	267.375	53
E07000109	355.125	71
E07000110	544.125	72.5
E07000111	300.5	42
E07000112	495.875	71.75
E07000113	170.875	25.75
E07000114	306.75	49.75
E07000115	293	39.75
E07000116	388.25	54.25
E07000177	451.375	75.5
E07000178	2271.5	198.75
E07000179	329.75	55.75
E07000180	380.5	59.25
E07000181	231.875	37.25
E07000207	783.875	121
E07000208	644.875	89.75
E07000209	1297.75	105.5
E07000210	272	40
E07000211	676.5	118
E07000212	891.75	66.5
E07000213	522	86
E07000214	533.125	73.5
E07000215	307.125	37.5
E07000216	364.5	41.25
E07000217	677.25	103.75
E07000223	138.75	20.75
E07000224	297.25	42.5
E07000225	254.25	31.25
E07000226	592.875	144.25
E07000227	384.125	40.5
E07000228	404.75	55.25
E07000229	426.125	73.5
E06000022	1110	47.5
E06000028	1274.375	133
E06000023	2631.375	250.25
E06000052	658.875	74.75
E06000053	1.25	0.5
E06000024	345.875	50.5
E06000026	750.125	78.75
E06000029	469.25	47
E06000025	721.125	106.75
E06000030	904.25	123.75
E06000027	210.5	23
E06000054	960.375	138.75
E07000040	157.875	19
E07000041	1173.75	66.75
E07000042	81	6.25
E07000043	109.875	13.75
E07000044	77.5	10.5
E07000045	177.75	14.25
E07000046	59.875	3.75
E07000047	52.375	4.75
E07000048	93.75	16.25
E07000049	95.75	11.75
E07000050	113	21.5
E07000051	45.375	6.25
E07000052	144.625	14.5
E07000053	86.375	12.75
E07000078	473.75	36.5
E07000079	146.75	15.75
E07000080	81	10.25
E07000081	319.125	61.75
E07000082	145.25	29.75
E07000083	111	15.75
E07000187	169.25	17.75
E07000188	117.375	16.25
E07000189	236.625	26
E07000190	236.125	31.5
E07000191	32.75	3.25
W06000001	78.875	9.5
W06000002	493.125	15.25
W06000003	155.25	19.5
W06000004	187.375	23.25
W06000005	143.375	18
W06000006	283.5	39.25
W06000023	155.375	19.25
W06000008	205.25	10.5
W06000009	154.25	27
W06000010	232.75	31
W06000011	1038.25	114.5
W06000012	174.625	24.75
W06000013	202	29.75
W06000014	259.375	42.75
W06000015	2309.375	409.25
W06000016	488.375	52.5
W06000024	103.375	13.5
W06000018	219.5	35.25
W06000019	60.75	5.5
W06000020	133.125	17.25
W06000021	124.5	15.25
W06000022	399.375	83.5
