id	mothers	kids
E07000206	125.5	57.75
E09000007	5645.625	925.25
E09000001	67	7.75
E09000012	15700.625	2746.5
E09000013	6541	1177.75
E09000014	12879.875	2342.5
E09000019	7943	1539.25
E09000020	3432.25	500
E09000022	21763.25	4137.25
E09000023	21481.75	4086.5
E09000025	16592.375	3151.5
E09000028	21814	4276.25
E09000030	5905	1114.25
E09000032	9416.25	1726.75
E09000033	5092.75	894.5
E09000002	10664.75	2994.5
E09000003	8651.625	1645.75
E09000004	5614.25	1287.25
E09000005	15162.375	2871.25
E09000006	5567.5	1255.75
E09000008	20930.5	4498.5
E09000009	10106.125	2042.75
E09000010	15373.5	3377.5
E09000011	14054	3325.25
E09000015	5360.25	1079.25
E09000016	3414	669.5
E09000017	5879.875	1357.75
E09000018	5033.5	1228.75
E09000021	1549.5	266
E09000024	5826.625	991.5
E09000026	6999.625	1422.5
E09000027	1137.875	244.75
E09000029	2837	577.25
E09000031	12459.75	2426.75
E06000036	686.625	175.75
E06000043	1958.375	301.5
E06000046	111.5	27.75
E06000035	1995	403.25
E06000042	4889	1473.75
E06000044	1367.25	313.5
E06000038	3308.125	756
E06000039	3298.875	851.25
E06000045	1743.875	339.25
E06000037	494	106.75
E06000040	579.75	136.25
E06000041	700.25	149.75
E07000004	1081.25	230.25
E07000005	210.25	65.25
E07000006	227.25	64.25
E07000007	1828.125	352.75
E07000061	319.125	53.5
E07000062	346.625	81.25
E07000063	172.125	31.5
E07000064	110.5	25.75
E07000065	154	28.25
E07000084	644.375	191.5
E07000085	217.125	30
E07000086	259.625	58
E07000087	130.375	41.5
E07000088	195.25	76.25
E07000089	203.375	43
E07000090	162	57.5
E07000091	253.875	64.25
E07000092	641	159.25
E07000093	204.25	41.75
E07000094	208.375	40.75
E07000105	445.875	119.25
E07000106	821	73.25
E07000107	1118.75	275.25
E07000108	138.5	29
E07000109	879.25	241.25
E07000110	420.5	131
E07000111	287	49.75
E07000112	195.5	32.25
E07000113	366	97
E07000114	337.625	74.5
E07000115	189.125	39.5
E07000116	256.375	48.75
E07000177	609.25	174
E07000178	2239.25	502.25
E07000179	256.625	68.25
E07000180	425.75	152.25
E07000181	205.625	43.75
E07000207	417.875	104.25
E07000208	389.875	71.75
E07000209	700.625	84.25
E07000210	150.25	37.25
E07000211	783.375	162.5
E07000212	369.625	58.75
E07000213	551.5	130
E07000214	265.5	64.25
E07000215	329.375	70
E07000216	236.125	26
E07000217	524.25	108.25
E07000223	131.5	19.75
E07000224	206.25	40
E07000225	205	32.75
E07000226	1144.5	275.75
E07000227	228.5	49.25
E07000228	318.75	57.25
E07000229	327.75	79.5
E06000022	518.25	77.75
E06000028	715.75	157.5
E06000023	7113.375	2141.25
E06000052	413.625	111.5
E06000053	0	0
E06000024	247.625	61.25
E06000026	641.125	161
E06000029	250.5	59.5
E06000025	762.875	206.25
E06000030	970.125	261.5
E06000027	148.875	36
E06000054	1181.5	335
E07000040	76.25	9.5
E07000041	296.75	51.5
E07000042	54.25	9.75
E07000043	84.875	26.25
E07000044	61.25	9.5
E07000045	66.5	14
E07000046	33.125	11.25
E07000047	25.625	6.5
E07000048	37.5	14
E07000049	58.375	9.5
E07000050	58.25	15
E07000051	27.625	10
E07000052	83	16.75
E07000053	51	14.25
E07000078	332.75	61.75
E07000079	103.625	19.5
E07000080	63.875	24.5
E07000081	1070.375	248.75
E07000082	128.375	36.75
E07000083	111.75	27.25
E07000187	95.75	21
E07000188	95.625	19.25
E07000189	156.25	28.75
E07000190	125.25	24.5
E07000191	18	5.5
W06000001	45.25	8.5
W06000002	128.625	12.5
W06000003	112.25	25
W06000004	91.5	15
W06000005	79.25	21.25
W06000006	215.375	61.5
W06000023	76	11.25
W06000008	124.875	13.75
W06000009	77.875	15.75
W06000010	127.625	27
W06000011	672.75	96
W06000012	121.875	20.25
W06000013	124.375	15.5
W06000014	225.75	52.5
W06000015	2803	666.75
W06000016	443	43
W06000024	67.25	11.25
W06000018	119.375	30
W06000019	48.125	7.5
W06000020	78.875	26.5
W06000021	62.5	8.75
W06000022	824.75	180.5
