GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	N_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE	N_ACE
47710	0.91	0.67	0.0	2.84	1.25	0.0	-10	-41	0	31	1	-2
47715	0.79	0.77	0.61	1.14	0.63	0.6	-36	-35	0	1	0	-1
47720	0.76	0.75	0.0	0.93	1.32	0.74	-23	-29	0	2	2	1
47725	0.8	0.72	1.47	1.45	0.76	0.87	-94	-274	12	176	-7	-2
47735	1.1	0.86	0.97	2.04	0.0	12.45	21	-18	1	38	0	0
47745	0.93	0.77	3.17	1.21	0.38	3.4	5	-52	1	53	0	3
47750	1.04	0.95	0.0	3.91	0.0	0.0	15	6	0	10	1	-1
48	0.8	0.78	1.13	1.13	0.81	0.8	-2496	-3192	98	710	43	-155
48805	0.82	0.79	4.04	1.22	1.48	1.36	-66	-77	3	7	2	0
48806	0.99	0.94	1.51	1.63	4.55	0.98	30	24	1	3	3	0
48810	0.78	0.74	2.5	1.4	0.64	1.27	-78	-103	2	25	-7	4
48825	0.72	0.69	1.17	0.87	0.82	0.78	-1306	-1405	55	66	34	-56
48830	0.76	0.73	2.11	1.02	0.9	1.03	-47	-62	1	8	3	3
48833	0.57	0.59	0.0	0.41	0.0	0.0	-42	-38	-1	-2	-1	0
48835	0.76	0.72	1.06	1.07	0.79	0.8	-1264	-1381	38	175	-7	-89
48840	0.83	0.81	0.89	1.01	0.87	0.0	30	22	0	9	1	-2
48845	1.05	1.07	0.0	1.0	0.0	0.0	75	63	1	14	-1	-2
48850	0.86	0.85	0.6	0.9	0.95	1.04	62	47	0	11	4	0
48860	0.81	0.76	0.73	1.08	0.99	0.45	-2	-22	-3	26	3	-6
48865	0.86	0.77	2.09	1.42	2.22	0.0	-12	-11	0	2	-1	-1
59	0.7	0.69	1.18	0.93	0.72	0.63	-10190	-9271	102	321	-78	-1262
59905	0.83	0.77	0.0	1.42	0.57	1.79	-64	-74	1	10	-1	1
59913	0.73	0.71	0.54	1.28	0.73	0.82	-116	-126	1	8	2	-1
59915	0.7	0.69	1.57	0.84	0.81	1.01	-385	-399	1	11	0	2
59918	0.68	0.69	1.34	0.55	0.44	0.76	-178	-164	1	-5	-6	-4
59925	0.65	0.62	4.38	0.92	0.54	0.69	-280	-281	2	6	-6	0
59930	0.94	0.92	1.77	1.07	0.94	1.13	-16	-38	3	17	3	-1
