GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	N_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE	N_ACE
01	0.82	0.77	1.14	1.14	0.69	0.96	-86842	-88433	2745	3125	-7996	3717
10	0.69	0.66	1.06	0.95	0.52	1.22	-2048	-2041	8	-22	-4	11
10001	0.68	0.67	0.96	0.79	0.43	1.14	-582	-617	8	20	0	7
10005	0.8	0.8	0.0	0.0	0.0	0.0	-36	-36	0	0	0	0
10010	0.77	0.72	0.0	1.87	0.0	0.0	-40	-49	0	8	0	0
10015	0.56	0.56	0.0	0.54	0.0	0.0	-136	-116	0	-21	0	0
11	0.83	0.82	0.83	1.01	0.97	1.44	-421	-424	3	-4	4	0
11105	0.84	0.82	0.99	1.85	0.7	1.64	-168	-170	2	0	-4	4
11110	0.78	0.78	0.0	0.0	0.0	0.0	-56	-56	0	0	0	0
12	0.73	0.7	1.24	1.03	0.69	0.85	-3613	-3687	39	20	1	13
12205	0.68	0.65	1.24	0.75	0.59	0.87	-1378	-1412	40	-14	-14	23
12210	0.67	0.68	1.66	0.0	0.0	0.0	-118	-115	2	-5	0	0
12215	0.81	0.79	0.64	0.81	0.0	1.43	-160	-160	1	-6	4	1
12220	0.88	0.87	1.13	1.07	0.0	0.0	-112	-115	0	4	0	0
12225	0.81	0.73	1.41	1.68	0.32	0.0	-406	-441	-2	35	2	0
13	0.75	0.72	1.69	1.11	0.96	0.97	-2810	-2896	38	18	14	16
13305	0.79	0.76	1.42	1.42	0.89	1.0	-306	-348	13	17	4	8
13310	0.79	0.76	2.18	0.99	1.23	1.0	-446	-473	14	2	4	7
13320	0.72	0.68	1.61	1.34	1.01	0.71	-262	-288	6	18	1	2
13328	0.61	0.59	0.0	0.73	3.59	0.0	-198	-191	0	-9	2	0
13329	0.71	0.64	0.68	1.74	0.0	6.97	-122	-126	1	5	0	-1
13330	0.68	0.61	0.0	1.07	0.0	0.0	-106	-104	0	-4	0	2
13335	0.78	0.79	0.0	0.0	0.0	0.0	-116	-111	0	-5	0	0
24	0.84	0.81	1.16	0.97	0.83	1.07	-20670	-22711	1030	95	-73	989
24403	0.72	0.68	0.0	0.0	0.0	0.0	-98	-99	0	-2	4	0
24404	0.64	0.62	0.0	0.96	1.77	0.0	-234	-235	2	-3	2	0
24405	0.81	0.81	0.0	0.0	0.0	0.0	-102	-100	0	-2	0	0
24406	0.9	0.87	0.0	2.03	0.0	0.0	-129	-131	0	2	0	0
24408	0.8	0.79	2.93	0.72	5.64	3.03	-612	-608	6	-22	10	2
24410	0.89	0.9	0.0	0.0	0.0	0.0	-116	-110	2	-8	0	0
24411	0.95	0.94	0.0	0.91	0.0	0.0	-58	-56	0	-4	1	0
24412	0.96	0.83	0.0	1.71	0.0	0.0	-60	-82	0	21	0	0
24421	0.82	0.8	1.36	0.9	1.44	1.09	-1999	-2120	56	-1	42	24
24428	1.08	1.08	0.0	0.0	0.0	0.0	-54	-51	0	-2	0	0
24430	0.85	0.86	0.0	0.0	0.0	0.0	-114	-111	0	-3	0	0
24433	0.84	0.83	1.28	0.69	1.56	0.88	-437	-470	25	-3	1	9
24437	0.79	0.79	0.0	0.0	0.0	0.0	-52	-52	0	0	0	0
24440	0.82	0.79	0.0	1.13	3.88	0.0	-122	-133	4	4	3	1
24442	0.73	0.72	1.46	0.6	1.31	2.24	-576	-593	13	-9	4	9
24444	0.7	0.71	0.0	0.0	0.0	0.0	-289	-281	0	-8	0	0
24447	0.89	0.87	2.43	1.1	2.48	1.72	-188	-198	6	3	1	0
24450	0.9	0.89	1.94	0.59	1.23	1.3	-234	-236	2	-3	0	3
24452	0.78	0.77	2.29	0.77	0.0	1.27	-182	-185	3	-6	2	3
24454	0.73	0.73	0.0	0.0	0.0	0.0	-206	-205	1	-3	0	0
24456	0.86	0.84	3.11	0.6	0.0	0.42	-177	-180	5	-5	2	1
24459	0.84	0.83	3.02	0.79	1.79	0.0	-250	-264	6	3	5	0
24462	0.82	0.77	1.13	0.74	0.76	1.08	-8120	-9576	805	-76	-204	932
24465	0.81	0.82	0.0	0.0	0.0	0.0	-152	-145	0	-7	0	0
24468	0.87	0.87	0.0	0.0	0.0	0.0	-34	-34	0	0	0	0
24480	1.04	0.89	0.0	2.81	0.0	3.43	-62	-93	0	29	0	2
24481	0.87	0.82	0.0	1.91	0.0	0.0	-60	-65	0	6	0	0
24485	0.86	0.85	0.0	0.69	0.0	0.0	-114	-105	2	-12	0	1
35	0.79	0.76	1.06	0.86	0.65	0.93	-36356	-33450	846	-562	-4496	1306
35501	0.94	0.91	2.82	1.05	0.0	1.48	-164	-175	1	2	-3	10
35502	0.62	0.62	0.0	0.0	0.0	0.0	-54	-55	0	0	0	1
35505	0.8	0.75	1.16	0.65	0.85	1.04	-3236	-3468	246	-131	-71	189
35512	0.73	0.72	0.0	1.12	0.63	1.82	-156	-156	0	-1	0	1
35515	0.73	0.72	0.0	0.82	0.0	0.0	-100	-101	0	0	0	0
35516	1.15	1.1	4.16	1.3	0.0	2.54	38	29	2	4	2	1
35521	0.75	0.74	1.6	0.65	0.7	0.95	-522	-510	6	-15	-6	4
