GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	N_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE	N_ACE
35522	0.89	0.86	2.22	1.12	1.23	1.38	-287	-301	3	3	1	8
35527	0.88	0.83	0.0	0.0	20.12	0.0	-76	-72	2	-7	1	0
35528	0.76	0.75	0.0	0.0	6.3	0.0	-70	-69	1	-2	-1	0
35529	0.76	0.77	0.81	0.62	0.63	0.69	-400	-376	-2	-20	-9	6
35530	0.77	0.76	0.0	1.0	0.96	0.48	-316	-313	2	-5	0	0
35531	0.91	0.89	0.0	1.51	0.0	0.0	-76	-80	0	3	0	0
35532	0.85	0.81	1.35	0.78	0.93	1.11	-1007	-1056	35	-16	-5	35
35533	0.94	0.95	0.0	0.0	0.0	0.0	-34	-34	0	0	0	0
35535	0.76	0.71	0.99	0.67	0.62	0.92	-14264	-11129	341	-386	-4021	931
35537	0.78	0.74	1.25	1.1	0.67	0.91	-2108	-2115	59	28	-120	40
35539	0.78	0.74	1.71	1.06	0.82	0.96	-1369	-1426	55	-1	-7	11
35541	0.83	0.8	1.35	0.75	0.8	1.0	-903	-968	44	-52	-20	93
35543	0.84	0.76	1.84	1.32	0.68	1.43	-320	-361	7	20	-4	18
35544	0.83	0.79	4.36	0.76	3.2	0.5	-74	-82	6	-2	4	0
35546	0.78	0.76	0.0	0.0	0.0	0.0	-52	-54	4	0	-2	0
35547	0.9	0.92	3.35	0.4	0.0	0.0	-214	-206	3	-10	0	-2
35550	0.76	0.72	1.01	0.77	0.97	0.98	-376	-386	3	-4	-2	12
35553	0.78	0.72	0.0	6.95	1.24	0.0	-100	-104	0	8	-3	-1
35555	0.79	0.75	1.43	0.91	0.76	1.06	-1287	-1328	37	1	-57	60
35556	0.87	0.85	1.42	0.96	1.27	1.31	-332	-347	6	2	4	2
35557	0.89	0.87	5.56	1.53	0.51	0.88	-104	-108	5	-2	1	2
35559	0.81	0.74	1.62	0.78	0.75	1.17	-844	-914	78	-22	-55	69
35562	0.85	0.79	1.89	1.81	0.68	1.67	-275	-309	6	23	1	5
35566	0.79	0.76	0.0	1.34	0.0	0.51	-118	-126	1	4	1	1
35567	0.81	0.77	0.0	2.67	0.0	0.0	-62	-63	2	-1	0	0
35568	0.83	0.82	1.37	0.75	0.8	1.33	-515	-517	11	-9	-10	10
35569	0.68	0.65	1.25	0.86	0.9	1.02	-184	-179	1	-1	-4	-1
35571	0.68	0.63	2.26	0.89	1.6	0.0	-170	-150	2	-23	1	0
35575	0.72	0.68	1.42	0.95	3.04	0.24	-252	-257	4	-3	3	1
35580	0.76	0.77	1.93	0.61	0.38	0.81	-584	-539	7	-50	-5	3
35582	1.03	1.06	0.0	0.0	0.0	0.0	-30	-25	3	-8	0	0
35584	0.85	0.81	0.0	1.9	0.0	0.0	-34	-37	0	3	0	0
35586	0.72	0.73	6.87	0.52	0.0	1.9	-151	-144	3	-6	-6	3
35590	0.67	0.65	0.0	0.7	1.24	0.6	-386	-365	2	-21	-2	0
35595	0.7	0.64	2.04	1.08	0.94	0.33	-458	-463	5	7	-5	-3
35598	1.04	0.78	0.0	2.04	1.18	0.0	-40	-56	0	14	2	0
46	0.95	0.78	1.28	1.51	0.88	0.99	-1496	-2766	105	1046	34	85
46602	0.8	0.68	1.19	1.18	0.86	0.95	-1618	-2012	84	234	9	67
46605	1.11	1.03	0.0	1.54	1.03	0.0	22	8	3	7	2	1
46607	1.14	0.91	0.0	1.72	0.0	0.0	-12	-28	1	15	0	0
46610	0.92	0.83	1.18	1.35	0.99	0.53	-6	-78	5	51	14	2
46640	1.13	0.64	2.14	1.78	2.82	1.85	20	-18	3	29	1	6
47	1.0	0.82	1.48	1.72	0.83	1.28	-1038	-2368	51	1127	37	115
47705	0.86	0.72	1.44	1.63	0.8	1.26	-390	-596	20	138	8	40
47710	0.81	0.71	0.0	1.7	0.0	0.0	-52	-62	0	11	0	0
47715	0.91	0.87	1.86	1.42	0.42	4.32	-66	-79	3	5	1	4
47720	0.91	0.96	0.0	0.0	0.63	0.0	-36	-36	0	-3	3	0
47725	0.84	0.72	1.5	1.45	0.77	1.32	-338	-590	21	153	8	70
47735	1.04	0.75	0.0	1.79	1.03	0.0	-20	-56	2	30	4	0
47745	1.12	0.79	6.22	1.46	0.75	3.32	9	-90	4	90	2	3
47750	0.98	0.84	0.0	2.39	3.14	0.0	-8	-26	0	14	4	0
48	0.91	0.86	1.36	1.35	0.77	1.12	-3990	-5938	465	1084	-387	785
48805	0.95	0.95	2.12	0.92	0.5	1.06	-96	-104	9	4	-9	4
48806	1.18	1.08	2.45	1.01	1.8	4.16	30	-9	10	10	16	4
48810	0.91	0.87	1.45	1.24	1.26	0.9	-78	-111	7	21	5	1
48820	1.01	1.02	3.69	0.6	0.69	0.72	-6	-13	2	2	2	1
48821	0.94	0.94	0.0	0.14	1.77	0.0	-18	-22	0	-2	4	2
48825	0.84	0.77	1.38	1.08	0.8	1.13	-1783	-2332	209	98	-196	438
48826	1.14	1.21	0.0	0.0	0.75	0.0	24	25	0	-4	2	0
48828	0.63	0.62	0.0	0.91	0.61	0.0	-56	-59	0	-1	3	1
48830	0.85	0.82	2.01	1.1	0.75	1.08	-115	-159	9	22	4	9
48831	1.17	1.22	0.0	0.98	0.0	0.0	16	14	0	2	0	0
48832	1.08	1.1	0.0	0.0	1.78	0.0	-1	0	0	-3	2	0
48833	0.93	0.83	0.0	2.51	0.0	0.0	-6	-20	3	11	-2	0
48835	0.87	0.8	1.3	1.24	0.76	1.12	-1498	-2078	195	270	-183	298
48840	1.16	1.09	0.0	1.66	0.76	2.17	78	37	4	29	2	4
48845	1.2	1.06	3.14	2.54	0.51	0.0	34	11	2	23	-2	0
48850	1.05	1.03	1.5	1.35	0.68	0.77	138	88	5	37	6	1
48860	0.96	0.89	1.46	1.2	0.55	1.46	68	-19	18	18	3	48
48865	0.86	0.76	1.54	1.03	1.22	0.0	-26	-38	1	3	5	2
59	0.73	0.71	1.33	1.0	0.62	0.84	-14544	-11757	132	66	-3241	255
59905	0.91	0.96	0.0	0.46	0.0	0.0	-78	-74	0	-5	1	0
59913	0.78	0.73	0.0	1.52	0.3	0.74	-178	-188	0	13	-3	0
59915	0.71	0.69	0.79	1.02	0.62	0.82	-671	-667	3	5	-17	5
59918	0.79	0.75	4.33	1.02	1.3	0.8	-207	-206	2	-6	1	3
59920	0.87	0.79	0.0	1.41	13.41	0.0	-68	-68	0	-1	0	0
59925	0.74	0.67	0.98	1.2	0.88	1.14	-358	-405	2	28	7	10
59930	1.02	0.97	3.39	1.37	0.66	0.89	-104	-142	5	39	-5	-1
59932	0.95	0.92	1.96	0.83	1.23	0.98	-138	-253	13	-5	11	97
59933	0.66	0.64	1.32	0.72	0.6	0.82	-7995	-5022	86	-116	-3095	152
59934	1.01	0.96	0.0	1.1	1.72	1.22	8	-4	0	-3	9	6
59935	0.65	0.61	1.22	1.04	0.66	0.77	-1324	-1271	11	12	-70	-5
59937	0.84	0.76	0.0	1.16	2.3	0.59	-154	-157	1	7	-1	-4
59938	0.73	0.7	2.43	0.98	0.56	1.17	-358	-364	3	18	-13	-1
59939	0.67	0.69	0.0	0.49	0.0	0.0	-120	-119	0	-1	-2	1
59940	0.91	0.74	0.0	1.77	0.0	1.94	-78	-93	0	13	0	2
59943	0.82	0.82	2.05	0.73	0.72	0.92	-220	-210	1	-9	-4	1
59944	0.93	0.87	0.0	1.45	0.94	0.0	-115	-115	0	2	-1	0
59945	0.59	0.58	0.0	0.71	0.0	0.0	-92	-90	0	-2	0	0
59950	0.99	0.9	0.0	1.26	0.0	1.24	-34	-40	0	10	-6	1
59952	0.86	0.73	0.0	1.32	9.45	1.54	-76	-79	0	3	0	0
59955	1.1	0.39	0.0	1.98	0.8	0.95	-6	-38	0	36	-6	1
59965	0.78	0.66	0.0	1.14	0.0	0.93	-41	-48	0	7	0	0
59970	0.82	0.74	1.55	1.08	1.17	1.17	-229	-253	4	16	-2	6
59975	0.96	0.97	0.0	0.62	2.11	5.09	0	-2	0	-2	1	2
59977	1.06	1.08	0.0	0.69	2.27	0.0	49	42	2	-1	7	0
60	0.8	0.72	2.07	0.98	1.13	0.82	-106	-101	1	-11	2	2
60990	0.82	0.73	0.0	1.11	1.01	0.86	-65	-73	1	4	0	2
61	1.03	0.55	0.71	1.47	0.77	0.72	18	-81	-2	100	1	0
61995	0.88	0.57	0.63	1.65	0.73	1.13	-13	-50	-2	38	1	1
62	1.67	-1.17	0.92	2.16	0.71	1.02	232	-70	1	302	0	0
R10	0.7	0.66	1.46	0.99	0.7	1.5	-1253	-1215	1	-40	-4	5
R11	0.84	0.83	0.67	0.67	2.47	0.42	-196	-198	1	-4	8	-3
R12	0.74	0.71	1.37	1.1	0.93	0.82	-1441	-1449	2	5	10	-9
R13	0.74	0.73	2.2	0.97	0.74	0.99	-1260	-1262	6	-6	4	-2
R24	0.93	0.89	1.34	1.48	1.74	0.83	-5008	-5295	17	229	42	-1
R35	0.88	0.85	1.33	1.16	0.88	0.85	-5110	-5103	11	20	-24	-15
R46	1.27	0.99	2.2	1.85	1.02	1.37	98	-635	8	719	0	6
R47	1.24	0.99	1.14	1.87	1.07	0.77	-182	-836	2	640	11	1
R48	1.12	1.03	0.93	1.7	0.57	0.92	-650	-1160	3	537	-32	1
R59	0.89	0.84	0.98	1.18	0.85	0.69	-1954	-1911	2	-1	-43	-1
R60	0.74	0.65	0.0	0.79	2.24	0.0	-41	-27	0	-16	2	0
R61	1.19	0.52	1.44	1.41	0.97	0.58	32	-29	0	61	0	0
R62	1.67	-1.17	0.92	2.16	0.71	1.02	232	-70	1	302	0	0
