GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	N_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE	N_ACE
01	0.74	0.71	1.05	0.98	0.82	0.68	-87452	-88027	2235	1810	709	-4178
10	0.62	0.62	0.79	0.7	1.04	0.51	-2160	-2114	1	-35	-7	-6
10001	0.64	0.64	0.96	0.55	0.87	0.57	-605	-589	0	-6	-6	-4
10005	0.67	0.67	0.0	0.0	6.78	0.0	-32	-31	1	-1	0	0
10010	0.66	0.64	0.0	0.74	1.77	1.03	-58	-59	0	-1	1	1
10015	0.58	0.58	0.0	0.55	0.8	0.0	-128	-123	1	-5	1	0
11	0.73	0.71	1.6	1.3	0.88	0.46	-423	-436	5	7	1	0
11105	0.65	0.63	1.73	1.39	0.93	0.69	-205	-212	2	4	1	0
11110	0.69	0.7	0.78	0.0	0.0	0.0	-53	-52	1	-1	0	-1
12	0.66	0.64	1.21	0.76	0.7	0.9	-3550	-3554	22	-34	-1	17
12205	0.63	0.6	1.25	0.48	0.68	0.88	-1311	-1338	28	-10	-2	10
12210	0.79	0.76	2.09	0.63	4.46	0.63	-78	-80	3	-3	2	1
12215	0.75	0.74	1.03	0.77	0.76	1.08	-159	-152	0	-7	0	0
12220	0.73	0.72	1.9	0.94	0.0	0.9	-131	-133	-1	2	0	1
12225	0.63	0.59	1.06	1.14	1.01	0.9	-511	-528	2	14	0	2
13	0.68	0.67	1.46	0.86	0.85	0.83	-2718	-2735	23	-17	4	7
13305	0.64	0.63	1.53	0.5	0.56	1.23	-390	-398	7	-5	2	3
13310	0.73	0.72	1.7	0.82	1.06	0.5	-396	-407	3	2	3	2
13320	0.7	0.68	1.52	0.73	0.92	1.07	-234	-245	7	-1	3	3
13328	0.64	0.65	0.0	0.0	0.0	2.12	-150	-146	0	-2	-1	-1
13329	0.65	0.61	0.0	0.98	4.48	0.0	-110	-112	0	0	1	1
13330	0.65	0.64	0.0	0.69	0.0	0.0	-86	-81	0	-6	0	1
13335	0.56	0.58	0.0	0.0	0.0	0.0	-122	-112	0	-10	0	0
24	0.71	0.69	1.0	0.82	0.86	0.94	-25296	-26234	522	-48	328	135
24403	0.53	0.53	0.0	0.0	0.0	2.15	-108	-108	0	-1	0	1
24404	0.58	0.55	1.45	2.07	0.0	12.15	-277	-285	3	1	-1	5
24405	0.79	0.8	0.0	0.0	0.0	0.0	-100	-100	0	-2	0	1
24406	0.6	0.57	0.0	1.58	0.0	0.0	-160	-165	0	3	0	2
24408	0.68	0.67	2.55	0.85	0.92	8.82	-724	-731	2	-5	1	10
24410	0.75	0.75	0.0	0.68	0.0	3.61	-148	-147	0	0	-1	0
24411	0.67	0.64	0.0	1.02	0.0	0.0	-72	-72	0	-1	0	1
24412	0.86	0.83	10.67	0.95	0.0	0.0	-58	-71	3	9	0	1
24421	0.67	0.65	1.12	0.74	0.89	3.25	-2810	-2899	26	-10	17	56
24428	0.74	0.74	0.0	1.2	0.0	0.0	-95	-96	0	1	0	1
24430	0.65	0.64	1.01	0.99	0.0	0.0	-128	-129	1	0	0	1
24433	0.72	0.7	1.53	0.51	1.05	1.86	-564	-598	16	-6	8	16
24437	0.63	0.62	0.0	0.72	0.0	0.0	-60	-63	0	2	1	1
24440	0.8	0.79	10.15	0.9	0.0	5.53	-166	-169	3	-1	0	2
24442	0.65	0.64	0.81	0.63	1.0	1.8	-642	-643	2	-5	2	4
24444	0.6	0.59	2.22	1.42	0.0	16.13	-339	-339	1	-1	0	0
24446	0.89	0.65	0.0	1.58	0.0	1.57	-40	-62	0	23	-1	0
24447	0.73	0.72	3.09	0.9	0.0	1.76	-240	-247	1	5	0	1
24450	0.75	0.73	1.28	0.68	1.39	3.0	-250	-261	3	0	2	7
24452	0.67	0.65	1.33	0.77	0.0	3.23	-230	-234	1	1	0	1
24454	0.59	0.58	4.02	0.0	0.81	2.66	-288	-288	3	-2	0	0
24456	0.7	0.67	1.67	1.41	0.0	3.35	-206	-213	3	3	0	0
24459	0.73	0.72	2.38	0.78	0.53	1.95	-266	-271	3	-1	1	2
24462	0.71	0.68	0.99	0.68	0.87	0.81	-9988	-10604	429	-118	327	-20
24465	0.56	0.56	0.74	0.71	0.0	0.95	-214	-215	-1	1	0	0
24468	0.51	0.51	0.0	0.0	0.0	1.05	-64	-63	0	-2	0	-1
24480	0.77	0.73	0.0	1.35	0.0	14.18	-118	-127	-1	10	0	0
24481	0.79	0.73	3.55	1.99	0.0	0.0	-62	-67	1	3	0	1
24485	0.62	0.61	5.91	0.32	1.48	3.16	-171	-168	2	-8	0	2
35	0.75	0.73	1.02	0.82	0.84	0.67	-29705	-29187	1178	-223	455	-1929
35501	0.76	0.73	1.68	1.58	0.97	0.44	-185	-193	2	6	1	-1
35502	0.71	0.69	2.15	0.0	1.76	0.0	-50	-51	1	-2	2	1
35505	0.72	0.68	1.11	0.56	0.86	0.79	-3325	-3476	198	-131	106	-22
35512	0.69	0.7	1.24	0.28	0.67	0.79	-146	-141	1	-6	2	0
