GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	N_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE	N_ACE
35515	0.74	0.76	0.0	0.46	0.35	2.44	-76	-68	1	-11	1	1
35516	0.99	1.0	4.15	0.42	0.76	1.04	39	32	4	1	1	1
35521	0.63	0.63	0.8	0.54	0.76	0.73	-530	-510	3	-17	2	-8
35522	0.79	0.78	2.05	0.81	0.62	0.98	-236	-245	6	-2	1	3
35527	0.73	0.68	4.34	1.57	1.54	0.32	-54	-60	1	5	1	0
35528	0.7	0.7	1.31	1.15	0.3	0.0	-66	-66	0	1	-1	0
35529	0.62	0.62	1.16	0.51	0.89	0.6	-481	-465	4	-19	-1	-1
35530	0.71	0.7	1.28	0.64	1.36	0.37	-322	-322	1	0	-1	0
35531	0.83	0.83	0.0	1.26	0.0	0.84	-66	-66	0	1	-2	1
35532	0.78	0.76	1.24	0.79	0.9	0.8	-688	-735	53	-2	1	-6
35533	0.96	0.97	0.0	0.0	1.42	0.76	-8	-7	1	-2	0	0
35535	0.75	0.69	0.99	0.69	0.86	0.65	-10327	-9511	713	-194	482	-1817
35537	0.77	0.74	1.2	0.81	0.96	0.83	-1656	-1784	72	18	50	-13
35539	0.71	0.69	1.58	0.81	0.84	0.74	-1280	-1308	27	-5	4	2
35541	0.8	0.77	1.3	0.8	0.93	0.8	-596	-718	53	2	40	27
35543	0.82	0.78	2.08	1.26	0.92	1.4	-298	-322	8	9	1	5
35544	0.83	0.83	2.38	0.57	0.67	1.04	-76	-76	2	-2	0	-1
35546	0.88	0.85	0.8	0.0	0.0	2.78	-28	-32	0	-1	0	5
35547	0.76	0.75	1.98	1.14	1.09	1.25	-239	-240	1	0	1	-1
35550	0.75	0.72	1.18	0.55	0.98	1.04	-230	-263	9	-1	11	14
35553	0.7	0.67	1.21	0.0	1.94	3.54	-94	-94	1	-6	1	5
35555	0.72	0.68	1.55	0.83	0.86	0.84	-1249	-1341	55	6	20	11
35556	0.9	0.88	2.1	0.89	0.61	2.42	-240	-248	8	3	-6	3
35557	0.95	0.93	1.15	1.09	1.52	0.7	-42	-49	2	3	3	1
35559	0.79	0.75	1.14	0.94	1.0	0.84	-530	-661	39	14	66	12
35562	0.72	0.69	2.15	1.12	0.82	1.27	-358	-365	6	3	-3	2
35566	0.64	0.64	3.19	0.2	1.08	0.76	-136	-131	2	-5	0	0
35567	0.87	0.87	0.49	1.27	0.0	2.08	-52	-52	1	2	-2	0
35568	0.83	0.81	1.41	0.78	1.11	0.99	-244	-276	13	1	11	7
35569	0.76	0.76	7.12	0.81	0.77	0.92	-126	-122	0	-1	-3	0
35571	0.75	0.75	0.0	0.7	0.45	2.11	-144	-121	1	-20	-4	0
35575	0.67	0.64	1.07	0.93	0.87	0.88	-220	-230	2	9	0	0
35580	0.71	0.7	1.5	0.71	0.98	0.81	-548	-527	8	-26	-1	-1
35582	0.71	0.62	0.0	1.18	0.0	0.0	-56	-57	-1	1	0	1
35584	0.84	0.86	3.09	0.38	0.0	0.0	-38	-35	1	-3	0	0
35586	0.74	0.74	4.64	0.68	1.07	1.75	-138	-127	0	-11	-1	1
35590	0.67	0.65	1.51	0.75	0.37	0.94	-350	-345	0	-7	1	2
35595	0.67	0.64	1.45	0.93	0.92	0.61	-486	-489	5	6	-2	-6
35598	0.56	0.6	0.0	0.39	0.0	0.0	-70	-57	0	-12	0	-1
46	0.85	0.75	1.15	1.24	0.85	0.71	-1986	-2692	68	660	10	-30
46602	0.72	0.65	1.04	1.02	0.83	0.69	-1926	-2079	52	135	-4	-30
46607	1.05	0.93	4.51	1.32	1.34	0.0	-10	-31	3	17	1	0
46610	0.76	0.72	1.63	0.96	1.62	0.35	-60	-82	3	15	6	-1
46640	1.03	0.75	1.78	1.46	1.23	0.0	12	-15	1	25	2	-1
47	0.87	0.75	1.58	1.39	0.9	0.73	-1727	-2526	32	780	8	-22
47705	0.74	0.64	1.56	1.38	1.11	0.61	-472	-608	21	122	3	-10
47710	0.76	0.71	10.61	1.08	0.0	0.0	-46	-47	0	2	0	-1
47715	0.87	0.85	2.32	1.02	2.19	1.15	-66	-66	1	0	1	-2
47720	0.86	0.85	0.0	1.97	0.0	0.42	-44	-43	0	1	-1	-1
47725	0.76	0.69	1.56	1.19	0.89	0.79	-490	-617	9	116	6	-4
47735	1.01	0.76	0.63	1.79	1.1	0.0	-29	-58	1	27	1	0
47745	0.9	0.6	1.19	1.36	1.48	0.66	-48	-123	-1	73	2	0
47750	0.82	0.84	0.0	0.74	0.0	0.0	-20	-17	-1	0	0	-1
48	0.81	0.78	1.25	1.06	0.88	0.72	-5678	-6421	261	573	234	-326
48805	0.83	0.84	1.87	0.55	1.29	0.45	-146	-145	3	-4	4	-4
48806	1.06	1.06	1.06	1.14	1.16	0.98	22	11	6	0	2	3
48810	0.8	0.79	1.5	0.88	0.82	0.92	-159	-170	3	13	-5	0
48820	0.95	0.92	2.14	1.32	1.35	0.6	-10	-19	1	3	3	1
48825	0.76	0.72	1.17	0.8	0.92	0.75	-2180	-2350	116	25	166	-138
48828	0.72	0.69	0.0	1.08	1.13	0.67	-40	-41	-1	-1	3	0
48830	0.78	0.76	1.79	0.91	0.92	1.17	-116	-141	6	12	10	-2
48833	0.8	0.79	4.55	0.99	0.0	0.58	-30	-32	3	3	0	-3
48835	0.74	0.7	1.23	0.93	0.85	0.68	-2325	-2385	107	74	52	-173
48840	0.98	0.96	0.0	1.16	1.03	1.47	14	1	1	11	0	-1
48845	0.98	0.89	0.0	1.39	1.28	3.42	18	4	1	9	2	2
48850	0.97	0.91	2.23	1.43	0.59	2.14	66	10	4	49	-2	5
48860	0.77	0.75	0.69	0.7	1.01	1.11	-84	-94	-1	-7	16	2
48865	0.96	1.01	1.76	0.77	0.66	1.0	-10	-7	-1	-2	1	0
59	0.69	0.67	1.23	0.89	0.75	0.6	-14324	-12097	129	-68	-273	-2015
59905	0.71	0.7	0.0	0.93	0.0	1.12	-102	-101	0	0	0	0
59913	0.66	0.68	0.0	0.66	0.53	0.2	-210	-187	0	-6	-14	-2
59915	0.73	0.71	1.78	0.86	0.74	0.96	-586	-580	4	5	-3	-12
59918	0.75	0.69	0.54	1.31	0.63	1.49	-206	-221	0	14	0	1
59920	0.83	0.84	0.0	0.67	0.47	0.0	-72	-67	0	-6	1	1
59925	0.68	0.63	0.93	0.93	0.9	0.81	-361	-351	-1	-6	1	-5
59930	0.91	0.88	2.79	1.14	1.12	0.7	-110	-114	4	-5	3	1
59932	0.9	0.87	1.68	0.93	0.96	1.04	-164	-247	7	8	61	6
59933	0.65	0.61	1.18	0.7	0.75	0.6	-7052	-4957	93	-116	-182	-1889
59934	0.75	0.76	0.0	0.65	0.84	0.0	-24	-22	-1	-4	5	-2
59935	0.61	0.59	1.34	0.69	0.69	0.71	-1444	-1371	12	-34	-11	-39
59937	0.81	0.71	1.57	1.31	0.93	1.36	-151	-161	1	13	-6	2
59938	0.65	0.63	1.07	0.88	0.52	0.78	-404	-377	1	-5	-18	-4
59939	0.61	0.61	0.0	0.47	0.9	0.33	-132	-126	0	-3	1	-4
59940	0.67	0.69	1.11	0.62	0.68	0.0	-128	-115	0	-6	-6	0
59943	0.73	0.72	3.49	0.7	0.45	0.88	-194	-199	5	0	-1	1
59944	0.76	0.67	0.95	1.26	0.47	1.8	-159	-176	1	12	-2	6
59945	0.8	0.81	1.54	0.44	1.76	0.0	-78	-77	1	-1	1	-2
59950	0.78	0.69	4.6	1.21	0.62	0.53	-55	-64	-1	10	-1	0
59952	0.82	0.78	1.13	1.0	1.02	1.7	-86	-89	1	6	-3	0
59955	0.89	0.53	1.96	1.35	0.98	0.75	-33	-38	1	11	-5	-1
59960	0.71	0.56	0.0	2.19	0.21	1.14	-44	-42	0	7	-7	-1
59965	0.84	0.78	0.0	0.98	1.07	0.99	-38	-45	0	5	1	1
59970	0.74	0.69	2.63	0.96	0.76	0.82	-248	-262	5	18	-4	-5
59975	0.88	0.87	0.0	0.89	0.53	1.5	-12	-13	1	1	0	0
59977	0.93	0.92	0.99	0.93	1.02	2.46	12	1	0	8	2	2
60	0.75	0.64	0.0	1.02	0.62	1.39	-125	-124	-1	0	-1	1
60990	0.72	0.63	0.42	1.0	0.62	1.43	-102	-103	0	0	-1	1
61	1.01	0.77	0.59	1.24	1.17	0.86	39	-26	-1	64	4	-1
61995	0.89	0.75	0.62	1.23	1.28	0.96	-4	-13	-1	9	3	-1
62	1.53	0.3	2.04	1.78	0.94	0.91	203	-23	1	225	0	0
R10	0.61	0.6	0.11	0.7	1.17	0.34	-1338	-1307	0	-28	-2	-2
R11	0.81	0.8	2.66	1.54	1.69	0.27	-165	-171	1	4	0	1
R12	0.68	0.68	1.08	0.72	0.7	1.21	-1361	-1327	-4	-36	0	5
R13	0.68	0.66	1.55	0.97	0.7	0.95	-1238	-1240	7	-2	-4	1
R24	0.77	0.75	1.68	1.12	0.74	4.62	-5674	-5842	20	110	-6	44
R35	0.8	0.78	1.54	1.06	0.76	0.89	-4688	-4727	21	52	-22	-13
R46	1.13	0.99	3.32	1.46	0.86	1.63	-2	-484	8	473	0	1
R47	1.03	0.89	2.02	1.43	0.48	0.95	-524	-933	4	408	-1	-2
R48	0.98	0.93	2.67	1.34	0.91	0.92	-686	-1074	19	367	5	-4
R59	0.78	0.75	1.11	0.95	0.87	0.89	-2244	-2200	2	-34	-5	-6
R60	0.85	0.67	-2.22	1.1	0.0	0.93	-23	-22	-1	0	0	-1
R61	1.13	0.9	0.6	1.22	1.02	0.67	44	-10	0	52	1	0
R62	1.53	0.3	2.04	1.78	0.94	0.91	203	-23	1	225	0	0
